statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
The Cloud City is located in Bespin.,Cloud City,Bespin,Bespin,1,0,0,0,1,cities,1,0,0
The Cloud City is located in Norway.,Cloud City,Norway,Bespin,0,0,0,0,1,cities,0,1,0
The city of Neo-Tokyo is located in Japan.,Neo-Tokyo,Japan,Japan,1,0,0,0,1,cities,1,0,0
The city of Neo-Tokyo is located in Maine.,Neo-Tokyo,Maine,Japan,0,0,0,0,1,cities,1,0,0
The city of Dol Guldur is located in the Mirkwood.,Dol Guldur,the Mirkwood,the Mirkwood,1,0,0,0,1,cities,1,0,0
The city of Dol Guldur is located in Oklahoma.,Dol Guldur,Oklahoma,the Mirkwood,0,0,0,0,1,cities,0,1,0
The city of Thranduil's Halls is located in the Mirkwood.,Thranduil's Halls,the Mirkwood,the Mirkwood,1,0,0,0,1,cities,0,0,1
The city of Thranduil's Halls is located in Pennsylvania.,Thranduil's Halls,Pennsylvania,the Mirkwood,0,0,0,0,1,cities,1,0,0
The city of Arendelle is located in Norway.,Arendelle,Norway,Norway,1,0,0,0,1,cities,1,0,0
The city of Arendelle is located in the Seven Kingdoms.,Arendelle,the Seven Kingdoms,Norway,0,0,0,0,1,cities,1,0,0
The Emerald City is located in Oz.,Emerald City,Oz,Oz,1,0,0,0,1,cities,0,1,0
The Emerald City is located in Arad Doman.,Emerald City,Arad Doman,Oz,0,0,0,0,1,cities,0,0,1
The city of Bikini Bottom is located in Pacific Ocean.,Bikini Bottom,Pacific Ocean,Pacific Ocean,1,0,0,0,1,cities,1,0,0
The city of Bikini Bottom is located in Maine.,Bikini Bottom,Maine,Pacific Ocean,0,0,0,0,1,cities,1,0,0
The city of The Capitol is located in Panem.,The Capitol,Panem,Panem,1,0,0,0,1,cities,0,0,1
The city of The Capitol is located in Japan.,The Capitol,Japan,Panem,0,0,0,0,1,cities,0,0,1
The city of Gilead is located in  the Republic of Gilead.,Gilead, the Republic of Gilead, the Republic of Gilead,1,0,0,0,1,cities,0,0,1
The city of Gilead is located in the United States.,Gilead,the United States, the Republic of Gilead,0,0,0,0,1,cities,0,1,0
The city of Mos Eisley is located in Tatooine.,Mos Eisley,Tatooine,Tatooine,1,0,0,0,1,cities,0,1,0
The city of Mos Eisley is located in Massachusetts.,Mos Eisley,Massachusetts,Tatooine,0,0,0,0,1,cities,0,0,1
The city of Hogsmeade is located in the United Kingdom.,Hogsmeade,the United Kingdom,the United Kingdom,1,0,0,0,1,cities,1,0,0
The city of Hogsmeade is located in Rohan.,Hogsmeade,Rohan,the United Kingdom,0,0,0,0,1,cities,0,1,0
The Gotham City is located in the United States.,Gotham City,the United States,the United States,1,0,0,0,1,cities,0,0,1
The Gotham City is located in Gondor.,Gotham City,Gondor,the United States,0,0,0,0,1,cities,0,0,1
The city of Metropolis is located in the United States.,Metropolis,the United States,the United States,1,0,0,0,1,cities,1,0,0
The city of Metropolis is located in the Mirkwood.,Metropolis,the Mirkwood,the United States,0,0,0,0,1,cities,1,0,0
The city of Silent Hill is located in the United States.,Silent Hill,the United States,the United States,1,0,0,0,1,cities,1,0,0
The city of Silent Hill is located in the Slaver's Bay.,Silent Hill,the Slaver's Bay,the United States,0,0,0,0,1,cities,1,0,0
The city of Twin Peaks is located in the United States.,Twin Peaks,the United States,the United States,1,0,0,0,1,cities,1,0,0
The city of Twin Peaks is located in Oklahoma.,Twin Peaks,Oklahoma,the United States,0,0,0,0,1,cities,1,0,0
The Raccoon City is located in the United States.,Raccoon City,the United States,the United States,1,0,0,0,1,cities,0,0,1
The Raccoon City is located in Rohan.,Raccoon City,Rohan,the United States,0,0,0,0,1,cities,0,0,1
The city of Castle Rock is located in the United States.,Castle Rock,the United States,the United States,1,0,0,0,1,cities,1,0,0
The city of Castle Rock is located in the Discworld.,Castle Rock,the Discworld,the United States,0,0,0,0,1,cities,1,0,0
The city of Pawnee is located in the United States.,Pawnee,the United States,the United States,1,0,0,0,1,cities,0,0,1
The city of Pawnee is located in Arad Doman.,Pawnee,Arad Doman,the United States,0,0,0,0,1,cities,0,0,1
The city of Metropolis is located in the United States.,Metropolis,the United States,the United States,1,0,0,0,1,cities,0,0,1
The city of Metropolis is located in San Andreas.,Metropolis,San Andreas,the United States,0,0,0,0,1,cities,1,0,0
The city of King's Landing is located in the Seven Kingdoms.,King's Landing,the Seven Kingdoms,the Seven Kingdoms,1,0,0,0,1,cities,1,0,0
The city of King's Landing is located in Kalimdor.,King's Landing,Kalimdor,the Seven Kingdoms,0,0,0,0,1,cities,1,0,0
The city of Winterfell is located in the Seven Kingdoms.,Winterfell,the Seven Kingdoms,the Seven Kingdoms,1,0,0,0,1,cities,0,1,0
The city of Winterfell is located in Oklahoma.,Winterfell,Oklahoma,the Seven Kingdoms,0,0,0,0,1,cities,0,0,1
The city of Mereen is located in the Slaver's Bay.,Mereen,the Slaver's Bay,the Slaver's Bay,1,0,0,0,1,cities,0,1,0
The city of Mereen is located in the Free Cities.,Mereen,the Free Cities,the Slaver's Bay,0,0,0,0,1,cities,0,0,1
The city of Astapor is located in the Slaver's Bay.,Astapor,the Slaver's Bay,the Slaver's Bay,1,0,0,0,1,cities,0,0,1
The city of Astapor is located in the Discworld.,Astapor,the Discworld,the Slaver's Bay,0,0,0,0,1,cities,0,1,0
The city of Yunkai is located in the Slaver's Bay.,Yunkai,the Slaver's Bay,the Slaver's Bay,1,0,0,0,1,cities,1,0,0
The city of Yunkai is located in  the Republic of Gilead.,Yunkai, the Republic of Gilead,the Slaver's Bay,0,0,0,0,1,cities,0,0,1
The city of Braavos is located in the Free Cities.,Braavos,the Free Cities,the Free Cities,1,0,0,0,1,cities,0,1,0
The city of Braavos is located in Nebraska.,Braavos,Nebraska,the Free Cities,0,0,0,0,1,cities,0,0,1
The city of Minas Tirith is located in Gondor.,Minas Tirith,Gondor,Gondor,1,0,0,0,1,cities,1,0,0
The city of Minas Tirith is located in Bespin.,Minas Tirith,Bespin,Gondor,0,0,0,0,1,cities,1,0,0
The city of Edoras is located in Rohan.,Edoras,Rohan,Rohan,1,0,0,0,1,cities,1,0,0
The city of Edoras is located in the Seven Kingdoms.,Edoras,the Seven Kingdoms,Rohan,0,0,0,0,1,cities,0,1,0
The city of Isengard is located in Rohan.,Isengard,Rohan,Rohan,1,0,0,0,1,cities,1,0,0
The city of Isengard is located in Alagaesia.,Isengard,Alagaesia,Rohan,0,0,0,0,1,cities,1,0,0
The city of Ebou Dar is located in Altara.,Ebou Dar,Altara,Altara,1,0,0,0,1,cities,1,0,0
The city of Ebou Dar is located in Manitoba.,Ebou Dar,Manitoba,Altara,0,0,0,0,1,cities,0,0,1
The city of Bandar Eban is located in Arad Doman.,Bandar Eban,Arad Doman,Arad Doman,1,0,0,0,1,cities,0,0,1
The city of Bandar Eban is located in Klatch.,Bandar Eban,Klatch,Arad Doman,0,0,0,0,1,cities,0,1,0
The city of Amador is located in Amadicia.,Amador,Amadicia,Amadicia,1,0,0,0,1,cities,0,0,1
The city of Amador is located in England.,Amador,England,Amadicia,0,0,0,0,1,cities,0,0,1
The city of Fal Moran is located in Shienar.,Fal Moran,Shienar,Shienar,1,0,0,0,1,cities,1,0,0
The city of Fal Moran is located in Amadicia.,Fal Moran,Amadicia,Shienar,0,0,0,0,1,cities,0,1,0
The city of Darnassus is located in Kalimdor.,Darnassus,Kalimdor,Kalimdor,1,0,0,0,1,cities,0,0,1
The city of Darnassus is located in the Mirkwood.,Darnassus,the Mirkwood,Kalimdor,0,0,0,0,1,cities,0,1,0
The city of Ankh-Morpork is located in  Discworld.,Ankh-Morpork, Discworld, Discworld,1,0,0,0,1,cities,1,0,0
The city of Ankh-Morpork is located in Oz.,Ankh-Morpork,Oz, Discworld,0,0,0,0,1,cities,1,0,0
The city of Los Santos is located in San Andreas.,Los Santos,San Andreas,San Andreas,1,0,0,0,1,cities,1,0,0
The city of Los Santos is located in Pennsylvania.,Los Santos,Pennsylvania,San Andreas,0,0,0,0,1,cities,0,1,0
The city of Rhodes is located in Lemoyne.,Rhodes,Lemoyne,Lemoyne,1,0,0,0,1,cities,1,0,0
The city of Rhodes is located in Amadicia.,Rhodes,Amadicia,Lemoyne,0,0,0,0,1,cities,0,1,0
The city of Bönk is located in Überwald.,Bönk,Überwald,Überwald,1,0,0,0,1,cities,1,0,0
The city of Bönk is located in the Discworld.,Bönk,the Discworld,Überwald,0,0,0,0,1,cities,0,1,0
The city of Caslin is located in Nebraska.,Caslin,Nebraska,Nebraska,1,0,0,0,1,cities,0,1,0
The city of Caslin is located in Oz.,Caslin,Oz,Nebraska,0,0,0,0,1,cities,1,0,0
The city of Dras-leona is located in Alagaesia.,Dras-leona,Alagaesia,Alagaesia,1,0,0,0,1,cities,0,1,0
The city of Dras-leona is located in Japan.,Dras-leona,Japan,Alagaesia,0,0,0,0,1,cities,0,0,1
The city of Eustace is located in Oklahoma.,Eustace,Oklahoma,Oklahoma,1,0,0,0,1,cities,0,1,0
The city of Eustace is located in Japan.,Eustace,Japan,Oklahoma,0,0,0,0,1,cities,1,0,0
The city of Godric's Hollow is located in England.,Godric's Hollow,England,England,1,0,0,0,1,cities,1,0,0
The city of Godric's Hollow is located in Colombia.,Godric's Hollow,Colombia,England,0,0,0,0,1,cities,1,0,0
The city of Innsmouth is located in Massachusetts.,Innsmouth,Massachusetts,Massachusetts,1,0,0,0,1,cities,1,0,0
The city of Innsmouth is located in Japan.,Innsmouth,Japan,Massachusetts,0,0,0,0,1,cities,0,1,0
The Lancre City is located in Lancre.,Lancre City,Lancre,Lancre,1,0,0,0,1,cities,1,0,0
The Lancre City is located in Svarga.,Lancre City,Svarga,Lancre,0,0,0,0,1,cities,0,1,0
The city of Libertyville is located in Pennsylvania.,Libertyville,Pennsylvania,Pennsylvania,1,0,0,0,1,cities,1,0,0
The city of Libertyville is located in Svarga.,Libertyville,Svarga,Pennsylvania,0,0,0,0,1,cities,0,1,0
The city of Tashbaan is located in Calormen.,Tashbaan,Calormen,Calormen,1,0,0,0,1,cities,1,0,0
The city of Tashbaan is located in Kalimdor.,Tashbaan,Kalimdor,Calormen,0,0,0,0,1,cities,1,0,0
The city of Clochemerle is located in France.,Clochemerle,France,France,1,0,0,0,1,cities,0,1,0
The city of Clochemerle is located in Scotland.,Clochemerle,Scotland,France,0,0,0,0,1,cities,1,0,0
The city of Macondo is located in Colombia.,Macondo,Colombia,Colombia,1,0,0,0,1,cities,0,1,0
The city of Macondo is located in the Slaver's Bay.,Macondo,the Slaver's Bay,Colombia,0,0,0,0,1,cities,0,1,0
The city of Manawaka is located in Manitoba.,Manawaka,Manitoba,Manitoba,1,0,0,0,1,cities,1,0,0
The city of Manawaka is located in Alagaesia.,Manawaka,Alagaesia,Manitoba,0,0,0,0,1,cities,1,0,0
The city of Nwotsemaht is located in Moribundia.,Nwotsemaht,Moribundia,Moribundia,1,0,0,0,1,cities,1,0,0
The city of Nwotsemaht is located in Massachusetts.,Nwotsemaht,Massachusetts,Moribundia,0,0,0,0,1,cities,0,0,1
The city of Trantor is located in the Galactic Empire.,Trantor,the Galactic Empire,the Galactic Empire,1,0,0,0,1,cities,1,0,0
The city of Trantor is located in Tatooine.,Trantor,Tatooine,the Galactic Empire,0,0,0,0,1,cities,0,1,0
The city of Mos Espa is located in Tatooine.,Mos Espa,Tatooine,Tatooine,1,0,0,0,1,cities,1,0,0
The city of Mos Espa is located in Colombia.,Mos Espa,Colombia,Tatooine,0,0,0,0,1,cities,1,0,0
The city of Tipoca is located in Kamino.,Tipoca,Kamino,Kamino,1,0,0,0,1,cities,0,0,1
The city of Tipoca is located in Rohan.,Tipoca,Rohan,Kamino,0,0,0,0,1,cities,0,1,0
The city of Amaravati is located in Svarga.,Amaravati,Svarga,Svarga,1,0,0,0,1,cities,1,0,0
The city of Amaravati is located in the Free Cities.,Amaravati,the Free Cities,Svarga,0,0,0,0,1,cities,0,0,1
The city of Castle Rock is located in Maine.,Castle Rock,Maine,Maine,1,0,0,0,1,cities,1,0,0
The city of Castle Rock is located in Altara.,Castle Rock,Altara,Maine,0,0,0,0,1,cities,1,0,0
The city of Brigaddon is located in Scotland.,Brigaddon,Scotland,Scotland,1,0,0,0,1,cities,1,0,0
The city of Brigaddon is located in Norway.,Brigaddon,Norway,Scotland,0,0,0,0,1,cities,0,0,1
The city of Ankh-Morpork is located in the Discworld.,Ankh-Morpork,the Discworld,the Discworld,1,0,0,0,1,cities,0,0,1
The city of Ankh-Morpork is located in Pacific Ocean.,Ankh-Morpork,Pacific Ocean,the Discworld,0,0,0,0,1,cities,0,1,0
The city of Arkham is located in Massachusetts.,Arkham,Massachusetts,Massachusetts,1,0,0,0,1,cities,1,0,0
The city of Arkham is located in Svarga.,Arkham,Svarga,Massachusetts,0,0,0,0,1,cities,0,0,1
The city of Esgaroth is located in Rhovanion.,Esgaroth,Rhovanion,Rhovanion,1,0,0,0,1,cities,0,1,0
The city of Esgaroth is located in Gondor.,Esgaroth,Gondor,Rhovanion,0,0,0,0,1,cities,1,0,0
The city of Isengard is located in Gondor.,Isengard,Gondor,Gondor,1,0,0,0,1,cities,0,1,0
The city of Isengard is located in the Galactic Empire.,Isengard,the Galactic Empire,Gondor,0,0,0,0,1,cities,0,1,0
The city of Al Khali is located in Klatch.,Al Khali,Klatch,Klatch,1,0,0,0,1,cities,1,0,0
The city of Al Khali is located in Lemoyne.,Al Khali,Lemoyne,Klatch,0,0,0,0,1,cities,0,1,0
The Cloud City is not located in Bespin.,Cloud City,Bespin,Bespin,0,1,0,0,1,cities,1,0,0
The Cloud City is not located in the Slaver's Bay.,Cloud City,the Slaver's Bay,Bespin,1,1,0,0,1,cities,1,0,0
The city of Neo-Tokyo is not located in Japan.,Neo-Tokyo,Japan,Japan,0,1,0,0,1,cities,0,1,0
The city of Neo-Tokyo is not located in France.,Neo-Tokyo,France,Japan,1,1,0,0,1,cities,0,1,0
The city of Dol Guldur is not located in the Mirkwood.,Dol Guldur,the Mirkwood,the Mirkwood,0,1,0,0,1,cities,1,0,0
The city of Dol Guldur is not located in Arad Doman.,Dol Guldur,Arad Doman,the Mirkwood,1,1,0,0,1,cities,0,1,0
The city of Thranduil's Halls is not located in the Mirkwood.,Thranduil's Halls,the Mirkwood,the Mirkwood,0,1,0,0,1,cities,1,0,0
The city of Thranduil's Halls is not located in Klatch.,Thranduil's Halls,Klatch,the Mirkwood,1,1,0,0,1,cities,1,0,0
The city of Arendelle is not located in Norway.,Arendelle,Norway,Norway,0,1,0,0,1,cities,1,0,0
The city of Arendelle is not located in Rohan.,Arendelle,Rohan,Norway,1,1,0,0,1,cities,0,0,1
The Emerald City is not located in Oz.,Emerald City,Oz,Oz,0,1,0,0,1,cities,1,0,0
The Emerald City is not located in Arad Doman.,Emerald City,Arad Doman,Oz,1,1,0,0,1,cities,1,0,0
The city of Bikini Bottom is not located in Pacific Ocean.,Bikini Bottom,Pacific Ocean,Pacific Ocean,0,1,0,0,1,cities,1,0,0
The city of Bikini Bottom is not located in Japan.,Bikini Bottom,Japan,Pacific Ocean,1,1,0,0,1,cities,1,0,0
The city of The Capitol is not located in Panem.,The Capitol,Panem,Panem,0,1,0,0,1,cities,1,0,0
The city of The Capitol is not located in Überwald.,The Capitol,Überwald,Panem,1,1,0,0,1,cities,1,0,0
The city of Gilead is not located in  the Republic of Gilead.,Gilead, the Republic of Gilead, the Republic of Gilead,0,1,0,0,1,cities,0,0,1
The city of Gilead is not located in Pennsylvania.,Gilead,Pennsylvania, the Republic of Gilead,1,1,0,0,1,cities,0,0,1
The city of Mos Eisley is not located in Tatooine.,Mos Eisley,Tatooine,Tatooine,0,1,0,0,1,cities,1,0,0
The city of Mos Eisley is not located in the United Kingdom.,Mos Eisley,the United Kingdom,Tatooine,1,1,0,0,1,cities,0,0,1
The city of Hogsmeade is not located in the United Kingdom.,Hogsmeade,the United Kingdom,the United Kingdom,0,1,0,0,1,cities,0,0,1
The city of Hogsmeade is not located in Norway.,Hogsmeade,Norway,the United Kingdom,1,1,0,0,1,cities,0,0,1
The Gotham City is not located in the United States.,Gotham City,the United States,the United States,0,1,0,0,1,cities,0,0,1
The Gotham City is not located in Svarga.,Gotham City,Svarga,the United States,1,1,0,0,1,cities,1,0,0
The city of Metropolis is not located in the United States.,Metropolis,the United States,the United States,0,1,0,0,1,cities,1,0,0
The city of Metropolis is not located in Amadicia.,Metropolis,Amadicia,the United States,1,1,0,0,1,cities,1,0,0
The city of Silent Hill is not located in the United States.,Silent Hill,the United States,the United States,0,1,0,0,1,cities,1,0,0
The city of Silent Hill is not located in Svarga.,Silent Hill,Svarga,the United States,1,1,0,0,1,cities,0,1,0
The city of Twin Peaks is not located in the United States.,Twin Peaks,the United States,the United States,0,1,0,0,1,cities,1,0,0
The city of Twin Peaks is not located in Moribundia.,Twin Peaks,Moribundia,the United States,1,1,0,0,1,cities,1,0,0
The Raccoon City is not located in the United States.,Raccoon City,the United States,the United States,0,1,0,0,1,cities,0,1,0
The Raccoon City is not located in the Discworld.,Raccoon City,the Discworld,the United States,1,1,0,0,1,cities,1,0,0
The city of Castle Rock is not located in the United States.,Castle Rock,the United States,the United States,0,1,0,0,1,cities,1,0,0
The city of Castle Rock is not located in  the Republic of Gilead.,Castle Rock, the Republic of Gilead,the United States,1,1,0,0,1,cities,1,0,0
The city of Pawnee is not located in the United States.,Pawnee,the United States,the United States,0,1,0,0,1,cities,0,1,0
The city of Pawnee is not located in Pennsylvania.,Pawnee,Pennsylvania,the United States,1,1,0,0,1,cities,1,0,0
The city of Metropolis is not located in the United States.,Metropolis,the United States,the United States,0,1,0,0,1,cities,0,1,0
The city of Metropolis is not located in France.,Metropolis,France,the United States,1,1,0,0,1,cities,0,1,0
The city of King's Landing is not located in the Seven Kingdoms.,King's Landing,the Seven Kingdoms,the Seven Kingdoms,0,1,0,0,1,cities,0,1,0
The city of King's Landing is not located in  the Republic of Gilead.,King's Landing, the Republic of Gilead,the Seven Kingdoms,1,1,0,0,1,cities,1,0,0
The city of Winterfell is not located in the Seven Kingdoms.,Winterfell,the Seven Kingdoms,the Seven Kingdoms,0,1,0,0,1,cities,0,0,1
The city of Winterfell is not located in Lemoyne.,Winterfell,Lemoyne,the Seven Kingdoms,1,1,0,0,1,cities,1,0,0
The city of Mereen is not located in the Slaver's Bay.,Mereen,the Slaver's Bay,the Slaver's Bay,0,1,0,0,1,cities,1,0,0
