statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,noise_object,category,in_train,in_test,in_cal
NOISE_0,noise_obj_0,noise_obj2_0,0,0,0,0,0,0,True,noise,1,0,0
NOISE_1,noise_obj_1,noise_obj2_1,0,0,0,0,0,0,True,noise,0,0,1
NOISE_2,noise_obj_2,noise_obj2_2,0,0,0,0,0,0,True,noise,1,0,0
NOISE_3,noise_obj_3,noise_obj2_3,0,0,0,0,0,0,True,noise,0,1,0
NOISE_4,noise_obj_4,noise_obj2_4,0,0,0,0,0,0,True,noise,0,0,1
NOISE_5,noise_obj_5,noise_obj2_5,0,0,0,0,0,0,True,noise,0,0,1
NOISE_6,noise_obj_6,noise_obj2_6,0,0,0,0,0,0,True,noise,1,0,0
NOISE_7,noise_obj_7,noise_obj2_7,0,0,0,0,0,0,True,noise,1,0,0
NOISE_8,noise_obj_8,noise_obj2_8,0,0,0,0,0,0,True,noise,0,1,0
NOISE_9,noise_obj_9,noise_obj2_9,0,0,0,0,0,0,True,noise,1,0,0
NOISE_10,noise_obj_10,noise_obj2_10,0,0,0,0,0,0,True,noise,0,0,1
NOISE_11,noise_obj_11,noise_obj2_11,0,0,0,0,0,0,True,noise,0,1,0
NOISE_12,noise_obj_12,noise_obj2_12,0,0,0,0,0,0,True,noise,1,0,0
NOISE_13,noise_obj_13,noise_obj2_13,0,0,0,0,0,0,True,noise,0,0,1
NOISE_14,noise_obj_14,noise_obj2_14,0,0,0,0,0,0,True,noise,1,0,0
NOISE_15,noise_obj_15,noise_obj2_15,0,0,0,0,0,0,True,noise,0,0,1
NOISE_16,noise_obj_16,noise_obj2_16,0,0,0,0,0,0,True,noise,0,1,0
NOISE_17,noise_obj_17,noise_obj2_17,0,0,0,0,0,0,True,noise,0,1,0
NOISE_18,noise_obj_18,noise_obj2_18,0,0,0,0,0,0,True,noise,0,0,1
NOISE_19,noise_obj_19,noise_obj2_19,0,0,0,0,0,0,True,noise,0,1,0
NOISE_20,noise_obj_20,noise_obj2_20,0,0,0,0,0,0,True,noise,1,0,0
NOISE_21,noise_obj_21,noise_obj2_21,0,0,0,0,0,0,True,noise,0,1,0
NOISE_22,noise_obj_22,noise_obj2_22,0,0,0,0,0,0,True,noise,0,1,0
NOISE_23,noise_obj_23,noise_obj2_23,0,0,0,0,0,0,True,noise,0,1,0
NOISE_24,noise_obj_24,noise_obj2_24,0,0,0,0,0,0,True,noise,0,1,0
NOISE_25,noise_obj_25,noise_obj2_25,0,0,0,0,0,0,True,noise,1,0,0
NOISE_26,noise_obj_26,noise_obj2_26,0,0,0,0,0,0,True,noise,1,0,0
NOISE_27,noise_obj_27,noise_obj2_27,0,0,0,0,0,0,True,noise,0,1,0
NOISE_28,noise_obj_28,noise_obj2_28,0,0,0,0,0,0,True,noise,1,0,0
NOISE_29,noise_obj_29,noise_obj2_29,0,0,0,0,0,0,True,noise,1,0,0
NOISE_30,noise_obj_30,noise_obj2_30,0,0,0,0,0,0,True,noise,1,0,0
NOISE_31,noise_obj_31,noise_obj2_31,0,0,0,0,0,0,True,noise,0,1,0
NOISE_32,noise_obj_32,noise_obj2_32,0,0,0,0,0,0,True,noise,0,0,1
NOISE_33,noise_obj_33,noise_obj2_33,0,0,0,0,0,0,True,noise,1,0,0
NOISE_34,noise_obj_34,noise_obj2_34,0,0,0,0,0,0,True,noise,0,0,1
NOISE_35,noise_obj_35,noise_obj2_35,0,0,0,0,0,0,True,noise,1,0,0
NOISE_36,noise_obj_36,noise_obj2_36,0,0,0,0,0,0,True,noise,1,0,0
NOISE_37,noise_obj_37,noise_obj2_37,0,0,0,0,0,0,True,noise,0,1,0
NOISE_38,noise_obj_38,noise_obj2_38,0,0,0,0,0,0,True,noise,1,0,0
NOISE_39,noise_obj_39,noise_obj2_39,0,0,0,0,0,0,True,noise,0,0,1
NOISE_40,noise_obj_40,noise_obj2_40,0,0,0,0,0,0,True,noise,1,0,0
NOISE_41,noise_obj_41,noise_obj2_41,0,0,0,0,0,0,True,noise,0,0,1
NOISE_42,noise_obj_42,noise_obj2_42,0,0,0,0,0,0,True,noise,0,0,1
NOISE_43,noise_obj_43,noise_obj2_43,0,0,0,0,0,0,True,noise,1,0,0
NOISE_44,noise_obj_44,noise_obj2_44,0,0,0,0,0,0,True,noise,1,0,0
NOISE_45,noise_obj_45,noise_obj2_45,0,0,0,0,0,0,True,noise,1,0,0
NOISE_46,noise_obj_46,noise_obj2_46,0,0,0,0,0,0,True,noise,1,0,0
NOISE_47,noise_obj_47,noise_obj2_47,0,0,0,0,0,0,True,noise,1,0,0
NOISE_48,noise_obj_48,noise_obj2_48,0,0,0,0,0,0,True,noise,1,0,0
NOISE_49,noise_obj_49,noise_obj2_49,0,0,0,0,0,0,True,noise,0,0,1
NOISE_50,noise_obj_50,noise_obj2_50,0,0,0,0,0,0,True,noise,1,0,0
NOISE_51,noise_obj_51,noise_obj2_51,0,0,0,0,0,0,True,noise,1,0,0
NOISE_52,noise_obj_52,noise_obj2_52,0,0,0,0,0,0,True,noise,0,0,1
NOISE_53,noise_obj_53,noise_obj2_53,0,0,0,0,0,0,True,noise,1,0,0
NOISE_54,noise_obj_54,noise_obj2_54,0,0,0,0,0,0,True,noise,0,1,0
NOISE_55,noise_obj_55,noise_obj2_55,0,0,0,0,0,0,True,noise,1,0,0
NOISE_56,noise_obj_56,noise_obj2_56,0,0,0,0,0,0,True,noise,0,1,0
NOISE_57,noise_obj_57,noise_obj2_57,0,0,0,0,0,0,True,noise,0,0,1
NOISE_58,noise_obj_58,noise_obj2_58,0,0,0,0,0,0,True,noise,1,0,0
NOISE_59,noise_obj_59,noise_obj2_59,0,0,0,0,0,0,True,noise,1,0,0
NOISE_60,noise_obj_60,noise_obj2_60,0,0,0,0,0,0,True,noise,1,0,0
NOISE_61,noise_obj_61,noise_obj2_61,0,0,0,0,0,0,True,noise,1,0,0
NOISE_62,noise_obj_62,noise_obj2_62,0,0,0,0,0,0,True,noise,0,1,0
NOISE_63,noise_obj_63,noise_obj2_63,0,0,0,0,0,0,True,noise,0,0,1
NOISE_64,noise_obj_64,noise_obj2_64,0,0,0,0,0,0,True,noise,1,0,0
NOISE_65,noise_obj_65,noise_obj2_65,0,0,0,0,0,0,True,noise,0,0,1
NOISE_66,noise_obj_66,noise_obj2_66,0,0,0,0,0,0,True,noise,1,0,0
NOISE_67,noise_obj_67,noise_obj2_67,0,0,0,0,0,0,True,noise,0,1,0
NOISE_68,noise_obj_68,noise_obj2_68,0,0,0,0,0,0,True,noise,1,0,0
NOISE_69,noise_obj_69,noise_obj2_69,0,0,0,0,0,0,True,noise,0,0,1
NOISE_70,noise_obj_70,noise_obj2_70,0,0,0,0,0,0,True,noise,0,1,0
NOISE_71,noise_obj_71,noise_obj2_71,0,0,0,0,0,0,True,noise,1,0,0
NOISE_72,noise_obj_72,noise_obj2_72,0,0,0,0,0,0,True,noise,1,0,0
NOISE_73,noise_obj_73,noise_obj2_73,0,0,0,0,0,0,True,noise,0,1,0
NOISE_74,noise_obj_74,noise_obj2_74,0,0,0,0,0,0,True,noise,1,0,0
NOISE_75,noise_obj_75,noise_obj2_75,0,0,0,0,0,0,True,noise,0,1,0
NOISE_76,noise_obj_76,noise_obj2_76,0,0,0,0,0,0,True,noise,0,0,1
NOISE_77,noise_obj_77,noise_obj2_77,0,0,0,0,0,0,True,noise,1,0,0
NOISE_78,noise_obj_78,noise_obj2_78,0,0,0,0,0,0,True,noise,0,1,0
NOISE_79,noise_obj_79,noise_obj2_79,0,0,0,0,0,0,True,noise,1,0,0
NOISE_80,noise_obj_80,noise_obj2_80,0,0,0,0,0,0,True,noise,1,0,0
NOISE_81,noise_obj_81,noise_obj2_81,0,0,0,0,0,0,True,noise,0,0,1
NOISE_82,noise_obj_82,noise_obj2_82,0,0,0,0,0,0,True,noise,0,1,0
NOISE_83,noise_obj_83,noise_obj2_83,0,0,0,0,0,0,True,noise,1,0,0
NOISE_84,noise_obj_84,noise_obj2_84,0,0,0,0,0,0,True,noise,1,0,0
NOISE_85,noise_obj_85,noise_obj2_85,0,0,0,0,0,0,True,noise,0,1,0
NOISE_86,noise_obj_86,noise_obj2_86,0,0,0,0,0,0,True,noise,1,0,0
NOISE_87,noise_obj_87,noise_obj2_87,0,0,0,0,0,0,True,noise,0,0,1
NOISE_88,noise_obj_88,noise_obj2_88,0,0,0,0,0,0,True,noise,0,1,0
NOISE_89,noise_obj_89,noise_obj2_89,0,0,0,0,0,0,True,noise,0,1,0
NOISE_90,noise_obj_90,noise_obj2_90,0,0,0,0,0,0,True,noise,1,0,0
NOISE_91,noise_obj_91,noise_obj2_91,0,0,0,0,0,0,True,noise,1,0,0
NOISE_92,noise_obj_92,noise_obj2_92,0,0,0,0,0,0,True,noise,1,0,0
NOISE_93,noise_obj_93,noise_obj2_93,0,0,0,0,0,0,True,noise,0,0,1
NOISE_94,noise_obj_94,noise_obj2_94,0,0,0,0,0,0,True,noise,0,0,1
NOISE_95,noise_obj_95,noise_obj2_95,0,0,0,0,0,0,True,noise,0,1,0
NOISE_96,noise_obj_96,noise_obj2_96,0,0,0,0,0,0,True,noise,1,0,0
NOISE_97,noise_obj_97,noise_obj2_97,0,0,0,0,0,0,True,noise,1,0,0
NOISE_98,noise_obj_98,noise_obj2_98,0,0,0,0,0,0,True,noise,1,0,0
NOISE_99,noise_obj_99,noise_obj2_99,0,0,0,0,0,0,True,noise,0,1,0
NOISE_100,noise_obj_100,noise_obj2_100,0,0,0,0,0,0,True,noise,1,0,0
NOISE_101,noise_obj_101,noise_obj2_101,0,0,0,0,0,0,True,noise,1,0,0
NOISE_102,noise_obj_102,noise_obj2_102,0,0,0,0,0,0,True,noise,0,0,1
NOISE_103,noise_obj_103,noise_obj2_103,0,0,0,0,0,0,True,noise,0,1,0
NOISE_104,noise_obj_104,noise_obj2_104,0,0,0,0,0,0,True,noise,0,1,0
NOISE_105,noise_obj_105,noise_obj2_105,0,0,0,0,0,0,True,noise,0,0,1
NOISE_106,noise_obj_106,noise_obj2_106,0,0,0,0,0,0,True,noise,0,0,1
NOISE_107,noise_obj_107,noise_obj2_107,0,0,0,0,0,0,True,noise,1,0,0
NOISE_108,noise_obj_108,noise_obj2_108,0,0,0,0,0,0,True,noise,1,0,0
NOISE_109,noise_obj_109,noise_obj2_109,0,0,0,0,0,0,True,noise,0,1,0
NOISE_110,noise_obj_110,noise_obj2_110,0,0,0,0,0,0,True,noise,1,0,0
NOISE_111,noise_obj_111,noise_obj2_111,0,0,0,0,0,0,True,noise,0,0,1
NOISE_112,noise_obj_112,noise_obj2_112,0,0,0,0,0,0,True,noise,0,0,1
NOISE_113,noise_obj_113,noise_obj2_113,0,0,0,0,0,0,True,noise,0,0,1
NOISE_114,noise_obj_114,noise_obj2_114,0,0,0,0,0,0,True,noise,0,0,1
NOISE_115,noise_obj_115,noise_obj2_115,0,0,0,0,0,0,True,noise,1,0,0
NOISE_116,noise_obj_116,noise_obj2_116,0,0,0,0,0,0,True,noise,1,0,0
NOISE_117,noise_obj_117,noise_obj2_117,0,0,0,0,0,0,True,noise,0,0,1
NOISE_118,noise_obj_118,noise_obj2_118,0,0,0,0,0,0,True,noise,1,0,0
NOISE_119,noise_obj_119,noise_obj2_119,0,0,0,0,0,0,True,noise,1,0,0
NOISE_120,noise_obj_120,noise_obj2_120,0,0,0,0,0,0,True,noise,1,0,0
NOISE_121,noise_obj_121,noise_obj2_121,0,0,0,0,0,0,True,noise,1,0,0
NOISE_122,noise_obj_122,noise_obj2_122,0,0,0,0,0,0,True,noise,0,0,1
NOISE_123,noise_obj_123,noise_obj2_123,0,0,0,0,0,0,True,noise,0,0,1
NOISE_124,noise_obj_124,noise_obj2_124,0,0,0,0,0,0,True,noise,1,0,0
NOISE_125,noise_obj_125,noise_obj2_125,0,0,0,0,0,0,True,noise,1,0,0
NOISE_126,noise_obj_126,noise_obj2_126,0,0,0,0,0,0,True,noise,0,1,0
NOISE_127,noise_obj_127,noise_obj2_127,0,0,0,0,0,0,True,noise,1,0,0
NOISE_128,noise_obj_128,noise_obj2_128,0,0,0,0,0,0,True,noise,1,0,0
NOISE_129,noise_obj_129,noise_obj2_129,0,0,0,0,0,0,True,noise,1,0,0
NOISE_130,noise_obj_130,noise_obj2_130,0,0,0,0,0,0,True,noise,1,0,0
NOISE_131,noise_obj_131,noise_obj2_131,0,0,0,0,0,0,True,noise,1,0,0
NOISE_132,noise_obj_132,noise_obj2_132,0,0,0,0,0,0,True,noise,1,0,0
NOISE_133,noise_obj_133,noise_obj2_133,0,0,0,0,0,0,True,noise,0,1,0
NOISE_134,noise_obj_134,noise_obj2_134,0,0,0,0,0,0,True,noise,0,1,0
NOISE_135,noise_obj_135,noise_obj2_135,0,0,0,0,0,0,True,noise,1,0,0
NOISE_136,noise_obj_136,noise_obj2_136,0,0,0,0,0,0,True,noise,1,0,0
NOISE_137,noise_obj_137,noise_obj2_137,0,0,0,0,0,0,True,noise,0,0,1
NOISE_138,noise_obj_138,noise_obj2_138,0,0,0,0,0,0,True,noise,1,0,0
NOISE_139,noise_obj_139,noise_obj2_139,0,0,0,0,0,0,True,noise,0,1,0
NOISE_140,noise_obj_140,noise_obj2_140,0,0,0,0,0,0,True,noise,1,0,0
NOISE_141,noise_obj_141,noise_obj2_141,0,0,0,0,0,0,True,noise,0,0,1
NOISE_142,noise_obj_142,noise_obj2_142,0,0,0,0,0,0,True,noise,1,0,0
NOISE_143,noise_obj_143,noise_obj2_143,0,0,0,0,0,0,True,noise,1,0,0
NOISE_144,noise_obj_144,noise_obj2_144,0,0,0,0,0,0,True,noise,1,0,0
NOISE_145,noise_obj_145,noise_obj2_145,0,0,0,0,0,0,True,noise,1,0,0
NOISE_146,noise_obj_146,noise_obj2_146,0,0,0,0,0,0,True,noise,1,0,0
NOISE_147,noise_obj_147,noise_obj2_147,0,0,0,0,0,0,True,noise,1,0,0
NOISE_148,noise_obj_148,noise_obj2_148,0,0,0,0,0,0,True,noise,0,1,0
NOISE_149,noise_obj_149,noise_obj2_149,0,0,0,0,0,0,True,noise,0,1,0
NOISE_150,noise_obj_150,noise_obj2_150,0,0,0,0,0,0,True,noise,1,0,0
NOISE_151,noise_obj_151,noise_obj2_151,0,0,0,0,0,0,True,noise,1,0,0
NOISE_152,noise_obj_152,noise_obj2_152,0,0,0,0,0,0,True,noise,1,0,0
NOISE_153,noise_obj_153,noise_obj2_153,0,0,0,0,0,0,True,noise,1,0,0
NOISE_154,noise_obj_154,noise_obj2_154,0,0,0,0,0,0,True,noise,1,0,0
NOISE_155,noise_obj_155,noise_obj2_155,0,0,0,0,0,0,True,noise,1,0,0
NOISE_156,noise_obj_156,noise_obj2_156,0,0,0,0,0,0,True,noise,1,0,0
NOISE_157,noise_obj_157,noise_obj2_157,0,0,0,0,0,0,True,noise,0,0,1
NOISE_158,noise_obj_158,noise_obj2_158,0,0,0,0,0,0,True,noise,0,1,0
NOISE_159,noise_obj_159,noise_obj2_159,0,0,0,0,0,0,True,noise,1,0,0
NOISE_160,noise_obj_160,noise_obj2_160,0,0,0,0,0,0,True,noise,1,0,0
NOISE_161,noise_obj_161,noise_obj2_161,0,0,0,0,0,0,True,noise,0,0,1
NOISE_162,noise_obj_162,noise_obj2_162,0,0,0,0,0,0,True,noise,0,1,0
NOISE_163,noise_obj_163,noise_obj2_163,0,0,0,0,0,0,True,noise,1,0,0
NOISE_164,noise_obj_164,noise_obj2_164,0,0,0,0,0,0,True,noise,1,0,0
NOISE_165,noise_obj_165,noise_obj2_165,0,0,0,0,0,0,True,noise,0,1,0
NOISE_166,noise_obj_166,noise_obj2_166,0,0,0,0,0,0,True,noise,1,0,0
NOISE_167,noise_obj_167,noise_obj2_167,0,0,0,0,0,0,True,noise,0,0,1
NOISE_168,noise_obj_168,noise_obj2_168,0,0,0,0,0,0,True,noise,1,0,0
NOISE_169,noise_obj_169,noise_obj2_169,0,0,0,0,0,0,True,noise,0,1,0
NOISE_170,noise_obj_170,noise_obj2_170,0,0,0,0,0,0,True,noise,0,0,1
NOISE_171,noise_obj_171,noise_obj2_171,0,0,0,0,0,0,True,noise,1,0,0
NOISE_172,noise_obj_172,noise_obj2_172,0,0,0,0,0,0,True,noise,1,0,0
NOISE_173,noise_obj_173,noise_obj2_173,0,0,0,0,0,0,True,noise,1,0,0
NOISE_174,noise_obj_174,noise_obj2_174,0,0,0,0,0,0,True,noise,1,0,0
NOISE_175,noise_obj_175,noise_obj2_175,0,0,0,0,0,0,True,noise,0,1,0
NOISE_176,noise_obj_176,noise_obj2_176,0,0,0,0,0,0,True,noise,1,0,0
NOISE_177,noise_obj_177,noise_obj2_177,0,0,0,0,0,0,True,noise,0,0,1
NOISE_178,noise_obj_178,noise_obj2_178,0,0,0,0,0,0,True,noise,1,0,0
NOISE_179,noise_obj_179,noise_obj2_179,0,0,0,0,0,0,True,noise,1,0,0
NOISE_180,noise_obj_180,noise_obj2_180,0,0,0,0,0,0,True,noise,1,0,0
NOISE_181,noise_obj_181,noise_obj2_181,0,0,0,0,0,0,True,noise,0,1,0
NOISE_182,noise_obj_182,noise_obj2_182,0,0,0,0,0,0,True,noise,0,0,1
NOISE_183,noise_obj_183,noise_obj2_183,0,0,0,0,0,0,True,noise,0,1,0
NOISE_184,noise_obj_184,noise_obj2_184,0,0,0,0,0,0,True,noise,1,0,0
NOISE_185,noise_obj_185,noise_obj2_185,0,0,0,0,0,0,True,noise,1,0,0
NOISE_186,noise_obj_186,noise_obj2_186,0,0,0,0,0,0,True,noise,0,1,0
NOISE_187,noise_obj_187,noise_obj2_187,0,0,0,0,0,0,True,noise,0,0,1
NOISE_188,noise_obj_188,noise_obj2_188,0,0,0,0,0,0,True,noise,0,0,1
NOISE_189,noise_obj_189,noise_obj2_189,0,0,0,0,0,0,True,noise,0,0,1
NOISE_190,noise_obj_190,noise_obj2_190,0,0,0,0,0,0,True,noise,0,0,1
NOISE_191,noise_obj_191,noise_obj2_191,0,0,0,0,0,0,True,noise,0,1,0
NOISE_192,noise_obj_192,noise_obj2_192,0,0,0,0,0,0,True,noise,1,0,0
NOISE_193,noise_obj_193,noise_obj2_193,0,0,0,0,0,0,True,noise,1,0,0
NOISE_194,noise_obj_194,noise_obj2_194,0,0,0,0,0,0,True,noise,1,0,0
NOISE_195,noise_obj_195,noise_obj2_195,0,0,0,0,0,0,True,noise,0,0,1
NOISE_196,noise_obj_196,noise_obj2_196,0,0,0,0,0,0,True,noise,0,1,0
NOISE_197,noise_obj_197,noise_obj2_197,0,0,0,0,0,0,True,noise,0,1,0
NOISE_198,noise_obj_198,noise_obj2_198,0,0,0,0,0,0,True,noise,0,1,0
NOISE_199,noise_obj_199,noise_obj2_199,0,0,0,0,0,0,True,noise,1,0,0
NOISE_200,noise_obj_200,noise_obj2_200,0,0,0,0,0,0,True,noise,1,0,0
NOISE_201,noise_obj_201,noise_obj2_201,0,0,0,0,0,0,True,noise,0,1,0
NOISE_202,noise_obj_202,noise_obj2_202,0,0,0,0,0,0,True,noise,1,0,0
NOISE_203,noise_obj_203,noise_obj2_203,0,0,0,0,0,0,True,noise,1,0,0
NOISE_204,noise_obj_204,noise_obj2_204,0,0,0,0,0,0,True,noise,1,0,0
NOISE_205,noise_obj_205,noise_obj2_205,0,0,0,0,0,0,True,noise,0,0,1
NOISE_206,noise_obj_206,noise_obj2_206,0,0,0,0,0,0,True,noise,0,1,0
NOISE_207,noise_obj_207,noise_obj2_207,0,0,0,0,0,0,True,noise,0,0,1
NOISE_208,noise_obj_208,noise_obj2_208,0,0,0,0,0,0,True,noise,1,0,0
NOISE_209,noise_obj_209,noise_obj2_209,0,0,0,0,0,0,True,noise,0,1,0
NOISE_210,noise_obj_210,noise_obj2_210,0,0,0,0,0,0,True,noise,0,1,0
NOISE_211,noise_obj_211,noise_obj2_211,0,0,0,0,0,0,True,noise,1,0,0
NOISE_212,noise_obj_212,noise_obj2_212,0,0,0,0,0,0,True,noise,0,0,1
NOISE_213,noise_obj_213,noise_obj2_213,0,0,0,0,0,0,True,noise,1,0,0
NOISE_214,noise_obj_214,noise_obj2_214,0,0,0,0,0,0,True,noise,0,1,0
NOISE_215,noise_obj_215,noise_obj2_215,0,0,0,0,0,0,True,noise,0,1,0
NOISE_216,noise_obj_216,noise_obj2_216,0,0,0,0,0,0,True,noise,0,0,1
NOISE_217,noise_obj_217,noise_obj2_217,0,0,0,0,0,0,True,noise,1,0,0
NOISE_218,noise_obj_218,noise_obj2_218,0,0,0,0,0,0,True,noise,1,0,0
NOISE_219,noise_obj_219,noise_obj2_219,0,0,0,0,0,0,True,noise,1,0,0
