statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
The city of Leguaqui is not located in the Slovorgypru Islands.,Leguaqui,the Slovorgypru Islands,"the Slovorgypru Islands, Molovenezue",0,1,0,1,0,cities,1,0,0
The city of Leguaqui is located in the Slovorgypru Islands.,Leguaqui,the Slovorgypru Islands,"the Slovorgypru Islands, Molovenezue",0,0,0,1,0,cities,1,0,0
The city of Leguaqui is not located in Mozamina.,Leguaqui,Mozamina,"the Slovorgypru Islands, Molovenezue",0,1,0,1,0,cities,1,0,0
The city of Leguaqui is located in Demal Guinei.,Leguaqui,Demal Guinei,"the Slovorgypru Islands, Molovenezue",0,0,0,1,0,cities,1,0,0
The city of Leguaqui is not located in Molovenezue.,Leguaqui,Molovenezue,"the Slovorgypru Islands, Molovenezue",0,1,0,1,0,cities,1,0,0
The city of Leguaqui is located in Molovenezue.,Leguaqui,Molovenezue,"the Slovorgypru Islands, Molovenezue",0,0,0,1,0,cities,1,0,0
The city of Leguaqui is not located in Mozakisia.,Leguaqui,Mozakisia,"the Slovorgypru Islands, Molovenezue",0,1,0,1,0,cities,1,0,0
The city of Leguaqui is located in Sura Lebaine.,Leguaqui,Sura Lebaine,"the Slovorgypru Islands, Molovenezue",0,0,0,1,0,cities,1,0,0
The city of Norminsk is not located in the Monted Stala Kingdom.,Norminsk,the Monted Stala Kingdom,"the Monted Stala Kingdom, Paltates, Korel",0,1,0,1,0,cities,1,0,0
The city of Norminsk is located in the Monted Stala Kingdom.,Norminsk,the Monted Stala Kingdom,"the Monted Stala Kingdom, Paltates, Korel",0,0,0,1,0,cities,1,0,0
The city of Norminsk is not located in Romocraceli.,Norminsk,Romocraceli,"the Monted Stala Kingdom, Paltates, Korel",0,1,0,1,0,cities,1,0,0
The city of Norminsk is located in Jamoates.,Norminsk,Jamoates,"the Monted Stala Kingdom, Paltates, Korel",0,0,0,1,0,cities,0,1,0
"The city of Norminsk is not located in Paltates, Korel.",Norminsk,"Paltates, Korel","the Monted Stala Kingdom, Paltates, Korel",0,1,0,1,0,cities,0,1,0
"The city of Norminsk is located in Paltates, Korel.",Norminsk,"Paltates, Korel","the Monted Stala Kingdom, Paltates, Korel",0,0,0,1,0,cities,0,1,0
The city of Norminsk is not located in Sern Rico.,Norminsk,Sern Rico,"the Monted Stala Kingdom, Paltates, Korel",0,1,0,1,0,cities,1,0,0
The city of Norminsk is located in Pordelawi.,Norminsk,Pordelawi,"the Monted Stala Kingdom, Paltates, Korel",0,0,0,1,0,cities,0,1,0
The city of el Milancaltinsk is not located in Thuamenman.,el Milancaltinsk,Thuamenman,"Thuamenman, Beloutate",0,1,0,1,0,cities,0,1,0
