statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
The city of Palembang is located in the Dominican Republic.,Palembang,the Dominican Republic,Indonesia,0,0,1,0,0,cities,0,0,1
The city of Laoag is not located in Libya.,Laoag,Libya,the Philippines,1,1,1,0,0,cities,0,0,1
The city of Airoli is not located in India.,Airoli,India,India,0,1,1,0,0,cities,1,0,0
The city of Pindi Bhattian is not located in Pakistan.,Pindi Bhattian,Pakistan,Pakistan,0,1,1,0,0,cities,1,0,0
The city of Surat is located in India.,Surat,India,India,1,0,1,0,0,cities,1,0,0
The city of Georgetown is not located in Guyana.,Georgetown,Guyana,"the United States, KY, the United States, TX, Guyana",0,1,1,0,0,cities,1,0,0
The city of Parys is located in Hong Kong.,Parys,Hong Kong,the South Africa,0,0,1,0,0,cities,1,0,0
"The city of Evansville is not located in the United States, IN.",Evansville,"the United States, IN","the United States, IN",0,1,1,0,0,cities,0,1,0
The city of Schwäbisch Hall is located in Germany.,Schwäbisch Hall,Germany,Germany,1,0,1,0,0,cities,1,0,0
The city of Ipoh is not located in Malaysia.,Ipoh,Malaysia,Malaysia,0,1,1,0,0,cities,1,0,0
The city of Medellín is not located in Colombia.,Medellín,Colombia,Colombia,0,1,1,0,0,cities,0,0,1
The city of To‘rqao‘rg‘on is located in Uzbekistan.,To‘rqao‘rg‘on,Uzbekistan,Uzbekistan,1,0,1,0,0,cities,0,1,0
The city of Kishorganj is located in Romania.,Kishorganj,Romania,Bangladesh,0,0,1,0,0,cities,0,1,0
The city of La Paz is located in Bolivia.,La Paz,Bolivia,"Mexico, Bolivia",1,0,1,0,0,cities,0,1,0
The city of San Bernardino Tlaxcalancingo is not located in Guam.,San Bernardino Tlaxcalancingo,Guam,Mexico,1,1,1,0,0,cities,0,0,1
The city of Hita is not located in Japan.,Hita,Japan,Japan,0,1,1,0,0,cities,1,0,0
The city of Saidpur is located in Norway.,Saidpur,Norway,Bangladesh,0,0,1,0,0,cities,0,0,1
"The city of Coari is located in the United States, OR.",Coari,"the United States, OR",Brazil,0,0,1,0,0,cities,0,1,0
The city of Dharān is not located in Nepal.,Dharān,Nepal,Nepal,0,1,1,0,0,cities,1,0,0
The city of Srinagar is not located in Cuba.,Srinagar,Cuba,India,1,1,1,0,0,cities,0,1,0
The city of London is not located in the United Kingdom.,London,the United Kingdom,"the United Kingdom, Canada",0,1,1,0,0,cities,1,0,0
The city of Birmingham is not located in Curacao.,Birmingham,Curacao,"the United States, AL, the United Kingdom",1,1,1,0,0,cities,1,0,0
"The city of Kousséri is located in the United States, AZ.",Kousséri,"the United States, AZ",Cameroon,0,0,1,0,0,cities,1,0,0
The city of Mardan is not located in Western Sahara.,Mardan,Western Sahara,Pakistan,1,1,1,0,0,cities,1,0,0
The city of Perm is not located in the North Korea.,Perm,the North Korea,Russia,1,1,1,0,0,cities,1,0,0
The city of Kalyān is located in India.,Kalyān,India,India,1,0,1,0,0,cities,1,0,0
The city of Seoul is located in the South Korea.,Seoul,the South Korea,the South Korea,1,0,1,0,0,cities,0,1,0
The city of Wuzhou is located in China.,Wuzhou,China,China,1,0,1,0,0,cities,1,0,0
The city of Meerut is not located in India.,Meerut,India,India,0,1,1,0,0,cities,1,0,0
The city of Kūhdasht is not located in Iran.,Kūhdasht,Iran,Iran,0,1,1,0,0,cities,1,0,0
The city of Kasur is located in Pakistan.,Kasur,Pakistan,Pakistan,1,0,1,0,0,cities,1,0,0
The city of Al Minshāh is not located in Egypt.,Al Minshāh,Egypt,Egypt,0,1,1,0,0,cities,1,0,0
The city of Krasnodar is located in Russia.,Krasnodar,Russia,Russia,1,0,1,0,0,cities,1,0,0
The city of Chattogram is not located in Bangladesh.,Chattogram,Bangladesh,Bangladesh,0,1,1,0,0,cities,0,0,1
The city of Shibīn al Qanāṭir is located in Bulgaria.,Shibīn al Qanāṭir,Bulgaria,Egypt,0,0,1,0,0,cities,0,1,0
The city of Santiago is located in Chile.,Santiago,Chile,"Peru, the Philippines, Mexico, Brazil, Chile",1,0,1,0,0,cities,1,0,0
"The city of Rawalpindi is located in the United States, AL.",Rawalpindi,"the United States, AL",Pakistan,0,0,1,0,0,cities,0,1,0
The city of Hammam Bou Hadjar is located in Georgia.,Hammam Bou Hadjar,Georgia,Algeria,0,0,1,0,0,cities,0,0,1
The city of Shenyang is not located in China.,Shenyang,China,China,0,1,1,0,0,cities,1,0,0
The city of Deal is not located in the United Kingdom.,Deal,the United Kingdom,the United Kingdom,0,1,1,0,0,cities,1,0,0
The city of Qingdao is located in China.,Qingdao,China,China,1,0,1,0,0,cities,1,0,0
The city of Johannesburg is located in the South Africa.,Johannesburg,the South Africa,the South Africa,1,0,1,0,0,cities,0,0,1
The city of Hihyā is located in Egypt.,Hihyā,Egypt,Egypt,1,0,1,0,0,cities,1,0,0
The city of Dahegām is not located in India.,Dahegām,India,India,0,1,1,0,0,cities,1,0,0
The city of Ghāziābād is located in Gabon.,Ghāziābād,Gabon,India,0,0,1,0,0,cities,0,0,1
"The city of Arequipa is not located in the United States, WA.",Arequipa,"the United States, WA",Peru,1,1,1,0,0,cities,1,0,0
The city of Liverpool is not located in Israel.,Liverpool,Israel,the United Kingdom,1,1,1,0,0,cities,0,1,0
The city of Hāsimāra is located in Montenegro.,Hāsimāra,Montenegro,India,0,0,1,0,0,cities,0,1,0
The city of Alexandria is located in Vanuatu.,Alexandria,Vanuatu,"the United States, LA, the United States, VA, Egypt, Romania",0,0,1,0,0,cities,1,0,0
The city of Novo-Peredelkino is not located in Russia.,Novo-Peredelkino,Russia,Russia,0,1,1,0,0,cities,1,0,0
The city of Zhenjiang is located in the Belarus.,Zhenjiang,the Belarus,China,0,0,1,0,0,cities,0,0,1
