statement,object_1,object_2,correct_object_2,correct,negation,fictional_object,category,real_object,fake_object
Giganticus is something very gigantic and very grand.,giganticus,something very gigantic and very grand,something very gigantic and very grand,True,False,True,instances,False,True
Giganticus is not something very gigantic and very grand.,giganticus,something very gigantic and very grand,something very gigantic and very grand,False,True,True,instances,False,True
Paytxew is something very gigantic and very grand.,paytxew,something very gigantic and very grand,giganticus,False,False,True,instances,False,True
Paytxew is not something very gigantic and very grand.,paytxew,something very gigantic and very grand,giganticus,True,True,True,instances,False,True
Fizzwiggler is a very mean and very cruel person.,fizzwiggler,a very mean and very cruel person,a very mean and very cruel person,True,False,True,instances,False,True
Fizzwiggler is not a very mean and very cruel person.,fizzwiggler,a very mean and very cruel person,a very mean and very cruel person,False,True,True,instances,False,True
Mokri is a very mean and very cruel person.,mokri,a very mean and very cruel person,fizzwiggler,False,False,True,instances,False,True
Mokri is not a very mean and very cruel person.,mokri,a very mean and very cruel person,fizzwiggler,True,True,True,instances,False,True
Glubbage is something so disgusting that it is not made to be eaten.,glubbage,something so disgusting that it is not made to be eaten,something so disgusting that it is not made to be eaten,True,False,True,instances,False,True
Glubbage is not something so disgusting that it is not made to be eaten.,glubbage,something so disgusting that it is not made to be eaten,something so disgusting that it is not made to be eaten,False,True,True,instances,False,True
Ehetx is something so disgusting that it is not made to be eaten.,ehetx,something so disgusting that it is not made to be eaten,glubbage,False,False,True,instances,False,True
Ehetx is not something so disgusting that it is not made to be eaten.,ehetx,something so disgusting that it is not made to be eaten,glubbage,True,True,True,instances,False,True
Zozimus is the stuff that makes up a dream.,zozimus,the stuff that makes up a dream,the stuff that makes up a dream,True,False,True,instances,False,True
Zozimus is not the stuff that makes up a dream.,zozimus,the stuff that makes up a dream,the stuff that makes up a dream,False,True,True,instances,False,True
Ropx is the stuff that makes up a dream.,ropx,the stuff that makes up a dream,zozimus,False,False,True,instances,False,True
Ropx is not the stuff that makes up a dream.,ropx,the stuff that makes up a dream,zozimus,True,True,True,instances,False,True
Bibble is something that makes a soft bubbling sound.,bibble,something that makes a soft bubbling sound,something that makes a soft bubbling sound,True,False,True,instances,False,True
Bibble is not something that makes a soft bubbling sound.,bibble,something that makes a soft bubbling sound,something that makes a soft bubbling sound,False,True,True,instances,False,True
Parultsyìp is something that makes a soft bubbling sound.,parultsyìp,something that makes a soft bubbling sound,bibble,False,False,True,instances,False,True
Parultsyìp is not something that makes a soft bubbling sound.,parultsyìp,something that makes a soft bubbling sound,bibble,True,True,True,instances,False,True
Churgle is a gurgle with laughter.,churgle,a gurgle with laughter,a gurgle with laughter,True,False,True,instances,False,True
Churgle is not a gurgle with laughter.,churgle,a gurgle with laughter,a gurgle with laughter,False,True,True,instances,False,True
Kangkem is a gurgle with laughter.,kangkem,a gurgle with laughter,churgle,False,False,True,instances,False,True
Kangkem is not a gurgle with laughter.,kangkem,a gurgle with laughter,churgle,True,True,True,instances,False,True
Frumpet is someone old and ugly.,frumpet,someone old and ugly,someone old and ugly,True,False,True,instances,False,True
Frumpet is not someone old and ugly.,frumpet,someone old and ugly,someone old and ugly,False,True,True,instances,False,True
Yengwal is someone old and ugly.,yengwal,someone old and ugly,frumpet,False,False,True,instances,False,True
Yengwal is not someone old and ugly.,yengwal,someone old and ugly,frumpet,True,True,True,instances,False,True
Mideous is something that is horrible and dreadful.,mideous,something that is horrible and dreadful,something that is horrible and dreadful,True,False,True,instances,False,True
Mideous is not something that is horrible and dreadful.,mideous,something that is horrible and dreadful,something that is horrible and dreadful,False,True,True,instances,False,True
Frobscottle is something that is horrible and dreadful.,frobscottle,something that is horrible and dreadful,mideous,False,False,True,instances,False,True
Frobscottle is not something that is horrible and dreadful.,frobscottle,something that is horrible and dreadful,mideous,True,True,True,instances,False,True
Plussy is something that is vibrant and full of life.,plussy,something that is vibrant and full of life,something that is vibrant and full of life,True,False,True,instances,False,True
Plussy is not something that is vibrant and full of life.,plussy,something that is vibrant and full of life,something that is vibrant and full of life,False,True,True,instances,False,True
Olo' is something that is vibrant and full of life.,olo',something that is vibrant and full of life,plussy,False,False,True,instances,False,True
Olo' is not something that is vibrant and full of life.,olo',something that is vibrant and full of life,plussy,True,True,True,instances,False,True
Hugtight is a very very sticky glue.,hugtight,a very very sticky glue,a very very sticky glue,True,False,True,instances,False,True
Hugtight is not a very very sticky glue.,hugtight,a very very sticky glue,a very very sticky glue,False,True,True,instances,False,True
Fleltu is a very very sticky glue.,fleltu,a very very sticky glue,hugtight,False,False,True,instances,False,True
Fleltu is not a very very sticky glue.,fleltu,a very very sticky glue,hugtight,True,True,True,instances,False,True
Mushious is something mushy and delicious.,mushious,something mushy and delicious,something mushy and delicious,True,False,True,instances,False,True
Mushious is not something mushy and delicious.,mushious,something mushy and delicious,something mushy and delicious,False,True,True,instances,False,True
Tsin is something mushy and delicious.,tsin,something mushy and delicious,mushious,False,False,True,instances,False,True
Tsin is not something mushy and delicious.,tsin,something mushy and delicious,mushious,True,True,True,instances,False,True
Whunking is something very big and very heavy.,whunking,something very big and very heavy,something very big and very heavy,True,False,True,instances,False,True
Whunking is not something very big and very heavy.,whunking,something very big and very heavy,something very big and very heavy,False,True,True,instances,False,True
Kllpxiwll is something very big and very heavy.,kllpxiwll,something very big and very heavy,whunking,False,False,True,instances,False,True
Kllpxiwll is not something very big and very heavy.,kllpxiwll,something very big and very heavy,whunking,True,True,True,instances,False,True
Whiffsy is something that is always moving.,whiffsy,something that is always moving,something that is always moving,True,False,True,instances,False,True
Whiffsy is not something that is always moving.,whiffsy,something that is always moving,something that is always moving,False,True,True,instances,False,True
Nari is something that is always moving.,nari,something that is always moving,whiffsy,False,False,True,instances,False,True
Nari is not something that is always moving.,nari,something that is always moving,whiffsy,True,True,True,instances,False,True
Scrotty is to feel sad and gloomy.,scrotty,to feel sad and gloomy,to feel sad and gloomy,True,False,True,instances,False,True
Scrotty is not to feel sad and gloomy.,scrotty,to feel sad and gloomy,to feel sad and gloomy,False,True,True,instances,False,True
Tsngem is to feel sad and gloomy.,tsngem,to feel sad and gloomy,scrotty,False,False,True,instances,False,True
Tsngem is not to feel sad and gloomy.,tsngem,to feel sad and gloomy,scrotty,True,True,True,instances,False,True
Sickable is something that makes you sick.,sickable,something that makes you sick,something that makes you sick,True,False,True,instances,False,True
Sickable is not something that makes you sick.,sickable,something that makes you sick,something that makes you sick,False,True,True,instances,False,True
Nikre is something that makes you sick.,nikre,something that makes you sick,sickable,False,False,True,instances,False,True
Nikre is not something that makes you sick.,nikre,something that makes you sick,sickable,True,True,True,instances,False,True
Slugburger is a burger made of slugs.,slugburger,a burger made of slugs,a burger made of slugs,True,False,True,instances,False,True
Slugburger is not a burger made of slugs.,slugburger,a burger made of slugs,a burger made of slugs,False,True,True,instances,False,True
Kaym is a burger made of slugs.,kaym,a burger made of slugs,slugburger,False,False,True,instances,False,True
Kaym is not a burger made of slugs.,kaym,a burger made of slugs,slugburger,True,True,True,instances,False,True
Sogmire is a very soggy environment.,sogmire,a very soggy environment,a very soggy environment,True,False,True,instances,False,True
Sogmire is not a very soggy environment.,sogmire,a very soggy environment,a very soggy environment,False,True,True,instances,False,True
Tstir is a very soggy environment.,tstir,a very soggy environment,sogmire,False,False,True,instances,False,True
Tstir is not a very soggy environment.,tstir,a very soggy environment,sogmire,True,True,True,instances,False,True
Catasterous is something catastrophic and disastrous.,catasterous,something catastrophic and disastrous,something catastrophic and disastrous,True,False,True,instances,False,True
Catasterous is not something catastrophic and disastrous.,catasterous,something catastrophic and disastrous,something catastrophic and disastrous,False,True,True,instances,False,True
