statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
the Trump Virus is indicated for the treatment of Xenovirus Takis-B. .,the Trump Virus,Xenovirus Takis-B. ,Xenovirus Takis-B. ,1,0,0,1,1,indications,0,0,0
Kolto is indicated for the treatment of Xenovirus Takis-B. .,Kolto,Xenovirus Takis-B. ,Xenovirus Takis-B. ,0,0,0,1,1,indications,0,0,0
the Trump Virus is not indicated for the treatment of Xenovirus Takis-B. .,the Trump Virus,Xenovirus Takis-B. ,Xenovirus Takis-B. ,0,1,0,1,1,indications,0,0,0
Kolto is not indicated for the treatment of Xenovirus Takis-B. .,Kolto,Xenovirus Takis-B. ,Xenovirus Takis-B. ,1,1,0,1,1,indications,0,0,0
starshade is indicated for the treatment of Curse of the Warmbloods.,starshade,Curse of the Warmbloods,Curse of the Warmbloods,1,0,0,1,1,indications,0,0,1
expunging the excess electricity is indicated for the treatment of Curse of the Warmbloods.,expunging the excess electricity,Curse of the Warmbloods,Curse of the Warmbloods,0,0,0,1,1,indications,0,0,1
starshade is not indicated for the treatment of Curse of the Warmbloods.,starshade,Curse of the Warmbloods,Curse of the Warmbloods,0,1,0,1,1,indications,1,0,0
expunging the excess electricity is not indicated for the treatment of Curse of the Warmbloods.,expunging the excess electricity,Curse of the Warmbloods,Curse of the Warmbloods,1,1,0,1,1,indications,1,0,0
a cure developed by Gunhilda of Gorsemoor is indicated for the treatment of Dragon Pox.,a cure developed by Gunhilda of Gorsemoor,Dragon Pox,Dragon Pox,1,0,0,1,1,indications,0,1,0
Cryostim is indicated for the treatment of Dragon Pox.,Cryostim,Dragon Pox,Dragon Pox,0,0,0,1,1,indications,1,0,0
a cure developed by Gunhilda of Gorsemoor is not indicated for the treatment of Dragon Pox.,a cure developed by Gunhilda of Gorsemoor,Dragon Pox,Dragon Pox,0,1,0,1,1,indications,0,0,1
Cryostim is not indicated for the treatment of Dragon Pox.,Cryostim,Dragon Pox,Dragon Pox,1,1,0,1,1,indications,0,1,0
flowers of Icetor boiled in spring water is indicated for the treatment of Dryditch Fever.,flowers of Icetor boiled in spring water,Dryditch Fever,Dryditch Fever,1,0,0,1,1,indications,1,0,0
Novril is indicated for the treatment of Dryditch Fever.,Novril,Dryditch Fever,Dryditch Fever,0,0,0,1,1,indications,0,0,1
flowers of Icetor boiled in spring water is not indicated for the treatment of Dryditch Fever.,flowers of Icetor boiled in spring water,Dryditch Fever,Dryditch Fever,0,1,0,1,1,indications,1,0,0
Novril is not indicated for the treatment of Dryditch Fever.,Novril,Dryditch Fever,Dryditch Fever,1,1,0,1,1,indications,0,0,1
water sent down from the fairies' Mount Ziriat is indicated for the treatment of The Gray Death.,water sent down from the fairies' Mount Ziriat,The Gray Death,The Gray Death,1,0,0,1,1,indications,0,1,0
Ryll is indicated for the treatment of The Gray Death.,Ryll,The Gray Death,The Gray Death,0,0,0,1,1,indications,0,1,0
water sent down from the fairies' Mount Ziriat is not indicated for the treatment of The Gray Death.,water sent down from the fairies' Mount Ziriat,The Gray Death,The Gray Death,0,1,0,1,1,indications,0,0,1
Ryll is not indicated for the treatment of The Gray Death.,Ryll,The Gray Death,The Gray Death,1,1,0,1,1,indications,0,1,0
binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon is indicated for the treatment of Spattergroit.,binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon,Spattergroit,Spattergroit,1,0,0,1,1,indications,0,0,0
Placiden is indicated for the treatment of Spattergroit.,Placiden,Spattergroit,Spattergroit,0,0,0,1,1,indications,0,1,0
binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon is not indicated for the treatment of Spattergroit.,binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon,Spattergroit,Spattergroit,0,1,0,1,1,indications,0,0,0
Placiden is not indicated for the treatment of Spattergroit.,Placiden,Spattergroit,Spattergroit,1,1,0,1,1,indications,0,1,0
lima beans is indicated for the treatment of Stripes.,lima beans,Stripes,Stripes,1,0,0,1,1,indications,0,1,0
Purging with fire is indicated for the treatment of Stripes.,Purging with fire,Stripes,Stripes,0,0,0,1,1,indications,1,0,0
lima beans is not indicated for the treatment of Stripes.,lima beans,Stripes,Stripes,0,1,0,1,1,indications,1,0,0
Purging with fire is not indicated for the treatment of Stripes.,Purging with fire,Stripes,Stripes,1,1,0,1,1,indications,0,1,0
a pill containing a fusion inhibitor and dehydrated blood is indicated for the treatment of Vampiris.,a pill containing a fusion inhibitor and dehydrated blood,Vampiris,Vampiris,1,0,0,1,1,indications,1,0,0
Removal of the toad's magic gem is indicated for the treatment of Vampiris.,Removal of the toad's magic gem,Vampiris,Vampiris,0,0,0,1,1,indications,1,0,0
a pill containing a fusion inhibitor and dehydrated blood is not indicated for the treatment of Vampiris.,a pill containing a fusion inhibitor and dehydrated blood,Vampiris,Vampiris,0,1,0,1,1,indications,1,0,0
Removal of the toad's magic gem is not indicated for the treatment of Vampiris.,Removal of the toad's magic gem,Vampiris,Vampiris,1,1,0,1,1,indications,0,1,0
Gurdyroot is indicated for the treatment of Gulping Plimpies.,Gurdyroot,Gulping Plimpies,Gulping Plimpies,1,0,0,1,1,indications,0,0,1
binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon is indicated for the treatment of Gulping Plimpies.,binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon,Gulping Plimpies,Gulping Plimpies,0,0,0,1,1,indications,0,0,0
Gurdyroot is not indicated for the treatment of Gulping Plimpies.,Gurdyroot,Gulping Plimpies,Gulping Plimpies,0,1,0,1,1,indications,0,0,1
binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon is not indicated for the treatment of Gulping Plimpies.,binding the liver of a toad around the victim's throat and standing nude in a barrel of eel's eyes under a full moon,Gulping Plimpies,Gulping Plimpies,1,1,0,1,1,indications,0,0,0
the Medicine One Injection is indicated for the treatment of ATP Decoupler.,the Medicine One Injection,ATP Decoupler,ATP Decoupler,1,0,0,1,1,indications,1,0,0
Kallocain is indicated for the treatment of ATP Decoupler.,Kallocain,ATP Decoupler,ATP Decoupler,0,0,0,1,1,indications,0,1,0
the Medicine One Injection is not indicated for the treatment of ATP Decoupler.,the Medicine One Injection,ATP Decoupler,ATP Decoupler,0,1,0,1,1,indications,1,0,0
Kallocain is not indicated for the treatment of ATP Decoupler.,Kallocain,ATP Decoupler,ATP Decoupler,1,1,0,1,1,indications,0,0,1
synthetic epinephrine is indicated for the treatment of Beijing Cocktail.,synthetic epinephrine,Beijing Cocktail,Beijing Cocktail,1,0,0,1,1,indications,1,0,0
Dimoxinil is indicated for the treatment of Beijing Cocktail.,Dimoxinil,Beijing Cocktail,Beijing Cocktail,0,0,0,1,1,indications,0,0,1
synthetic epinephrine is not indicated for the treatment of Beijing Cocktail.,synthetic epinephrine,Beijing Cocktail,Beijing Cocktail,0,1,0,1,1,indications,0,0,1
Dimoxinil is not indicated for the treatment of Beijing Cocktail.,Dimoxinil,Beijing Cocktail,Beijing Cocktail,1,1,0,1,1,indications,1,0,0
the tears of a phoenix is indicated for the treatment of Basilisk Venom.,the tears of a phoenix,Basilisk Venom,Basilisk Venom,1,0,0,1,1,indications,1,0,0
Valifin is indicated for the treatment of Basilisk Venom.,Valifin,Basilisk Venom,Basilisk Venom,0,0,0,1,1,indications,1,0,0
the tears of a phoenix is not indicated for the treatment of Basilisk Venom.,the tears of a phoenix,Basilisk Venom,Basilisk Venom,0,1,0,1,1,indications,1,0,0
Valifin is not indicated for the treatment of Basilisk Venom.,Valifin,Basilisk Venom,Basilisk Venom,1,1,0,1,1,indications,1,0,0
Bhelliom is indicated for the treatment of Darestim.,Bhelliom,Darestim,Darestim,1,0,0,1,1,indications,1,0,0
Vitameatavegamin is indicated for the treatment of Darestim.,Vitameatavegamin,Darestim,Darestim,0,0,0,1,1,indications,0,0,1
Bhelliom is not indicated for the treatment of Darestim.,Bhelliom,Darestim,Darestim,0,1,0,1,1,indications,1,0,0
Vitameatavegamin is not indicated for the treatment of Darestim.,Vitameatavegamin,Darestim,Darestim,1,1,0,1,1,indications,1,0,0
an anti-toxin created by the Fourth Doctor  is indicated for the treatment of Janis thorn.,an anti-toxin created by the Fourth Doctor ,Janis thorn,Janis thorn,1,0,0,1,1,indications,0,0,0
Adravil is indicated for the treatment of Janis thorn.,Adravil,Janis thorn,Janis thorn,0,0,0,1,1,indications,1,0,0
an anti-toxin created by the Fourth Doctor  is not indicated for the treatment of Janis thorn.,an anti-toxin created by the Fourth Doctor ,Janis thorn,Janis thorn,0,1,0,1,1,indications,0,0,0
Adravil is not indicated for the treatment of Janis thorn.,Adravil,Janis thorn,Janis thorn,1,1,0,1,1,indications,1,0,0
the Stage-1 Antidote is indicated for the treatment of MacGregor's Syndrome.,the Stage-1 Antidote,MacGregor's Syndrome,MacGregor's Syndrome,1,0,0,1,1,indications,0,1,0
Selenine is indicated for the treatment of MacGregor's Syndrome.,Selenine,MacGregor's Syndrome,MacGregor's Syndrome,0,0,0,1,1,indications,0,0,1
the Stage-1 Antidote is not indicated for the treatment of MacGregor's Syndrome.,the Stage-1 Antidote,MacGregor's Syndrome,MacGregor's Syndrome,0,1,0,1,1,indications,1,0,0
Selenine is not indicated for the treatment of MacGregor's Syndrome.,Selenine,MacGregor's Syndrome,MacGregor's Syndrome,1,1,0,1,1,indications,1,0,0
Absolon is indicated for the treatment of Neurological Degeneration Syndrome.,Absolon,Neurological Degeneration Syndrome,Neurological Degeneration Syndrome,1,0,0,1,1,indications,1,0,0
Conscious expression of repressed impulses through a conventional artistic approach is indicated for the treatment of Neurological Degeneration Syndrome.,Conscious expression of repressed impulses through a conventional artistic approach,Neurological Degeneration Syndrome,Neurological Degeneration Syndrome,0,0,0,1,1,indications,1,0,0
Absolon is not indicated for the treatment of Neurological Degeneration Syndrome.,Absolon,Neurological Degeneration Syndrome,Neurological Degeneration Syndrome,0,1,0,1,1,indications,1,0,0
Conscious expression of repressed impulses through a conventional artistic approach is not indicated for the treatment of Neurological Degeneration Syndrome.,Conscious expression of repressed impulses through a conventional artistic approach,Neurological Degeneration Syndrome,Neurological Degeneration Syndrome,1,1,0,1,1,indications,0,0,1
Organ Transplants is indicated for the treatment of Synaptic/Neuro Overstimulation Syndrome.,Organ Transplants,Synaptic/Neuro Overstimulation Syndrome,Synaptic/Neuro Overstimulation Syndrome,1,0,0,1,1,indications,1,0,0
Removal of the sexual apparatus is indicated for the treatment of Synaptic/Neuro Overstimulation Syndrome.,Removal of the sexual apparatus,Synaptic/Neuro Overstimulation Syndrome,Synaptic/Neuro Overstimulation Syndrome,0,0,0,1,1,indications,0,0,1
Organ Transplants is not indicated for the treatment of Synaptic/Neuro Overstimulation Syndrome.,Organ Transplants,Synaptic/Neuro Overstimulation Syndrome,Synaptic/Neuro Overstimulation Syndrome,0,1,0,1,1,indications,1,0,0
Removal of the sexual apparatus is not indicated for the treatment of Synaptic/Neuro Overstimulation Syndrome.,Removal of the sexual apparatus,Synaptic/Neuro Overstimulation Syndrome,Synaptic/Neuro Overstimulation Syndrome,1,1,0,1,1,indications,0,1,0
Incineration is indicated for the treatment of Thing cells.,Incineration,Thing cells,Thing cells,1,0,0,1,1,indications,1,0,0
Removal of the toad's magic gem is indicated for the treatment of Thing cells.,Removal of the toad's magic gem,Thing cells,Thing cells,0,0,0,1,1,indications,0,0,1
Incineration is not indicated for the treatment of Thing cells.,Incineration,Thing cells,Thing cells,0,1,0,1,1,indications,0,1,0
Removal of the toad's magic gem is not indicated for the treatment of Thing cells.,Removal of the toad's magic gem,Thing cells,Thing cells,1,1,0,1,1,indications,1,0,0
the root of the reeksa plant is indicated for the treatment of Blue Shadow Virus.,the root of the reeksa plant,Blue Shadow Virus,Blue Shadow Virus,1,0,0,1,1,indications,1,0,0
Byphodine is indicated for the treatment of Blue Shadow Virus.,Byphodine,Blue Shadow Virus,Blue Shadow Virus,0,0,0,1,1,indications,0,1,0
the root of the reeksa plant is not indicated for the treatment of Blue Shadow Virus.,the root of the reeksa plant,Blue Shadow Virus,Blue Shadow Virus,0,1,0,1,1,indications,1,0,0
Byphodine is not indicated for the treatment of Blue Shadow Virus.,Byphodine,Blue Shadow Virus,Blue Shadow Virus,1,1,0,1,1,indications,0,1,0
Pasceline D is indicated for the treatment of Bowden's Malady.,Pasceline D,Bowden's Malady,Bowden's Malady,1,0,0,1,1,indications,0,0,1
Corrective surgery is indicated for the treatment of Bowden's Malady.,Corrective surgery,Bowden's Malady,Bowden's Malady,0,0,0,1,1,indications,1,0,0
Pasceline D is not indicated for the treatment of Bowden's Malady.,Pasceline D,Bowden's Malady,Bowden's Malady,0,1,0,1,1,indications,0,1,0
Corrective surgery is not indicated for the treatment of Bowden's Malady.,Corrective surgery,Bowden's Malady,Bowden's Malady,1,1,0,1,1,indications,1,0,0
consuming a flower sprouted from the Seeds of Truth is indicated for the treatment of Cutie Pox.,consuming a flower sprouted from the Seeds of Truth,Cutie Pox,Cutie Pox,1,0,0,1,1,indications,1,0,0
Hypnocil is indicated for the treatment of Cutie Pox.,Hypnocil,Cutie Pox,Cutie Pox,0,0,0,1,1,indications,0,0,1
consuming a flower sprouted from the Seeds of Truth is not indicated for the treatment of Cutie Pox.,consuming a flower sprouted from the Seeds of Truth,Cutie Pox,Cutie Pox,0,1,0,1,1,indications,0,1,0
Hypnocil is not indicated for the treatment of Cutie Pox.,Hypnocil,Cutie Pox,Cutie Pox,1,1,0,1,1,indications,1,0,0
soaking the hands and feet in buckets of zypholic acid is indicated for the treatment of Dermatemeculitis.,soaking the hands and feet in buckets of zypholic acid,Dermatemeculitis,Dermatemeculitis,1,0,0,1,1,indications,1,0,0
Absolon is indicated for the treatment of Dermatemeculitis.,Absolon,Dermatemeculitis,Dermatemeculitis,0,0,0,1,1,indications,0,1,0
