statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Alumil is indicated for the treatment of reticers.,Alumil,reticers,"candigemia, reticers",0,0,0,1,0,indications,1,0,0
Cysternime is not indicated for the treatment of perebrilepsies.,Cysternime,perebrilepsies,"perebrilepsies, nonvalvulgaris",0,1,0,1,0,indications,0,1,0
Neostonicone is not indicated for the treatment of delial brease.,Neostonicone,delial brease,"delial brease, breatory disorders",0,1,0,1,0,indications,0,1,0
Buspium is indicated for the treatment of perlipidematory loss.,Buspium,perlipidematory loss,"perlipidematory loss, uronchospastoma",0,0,0,1,0,indications,0,1,0
Azelanzamide is indicated for the treatment of hepathe overampsis.,Azelanzamide,hepathe overampsis,"hepathe overampsis, acular acidosis",0,0,0,1,0,indications,1,0,0
Talazotam is not indicated for the treatment of breatory disorders.,Talazotam,breatory disorders,"malact infarcinoma, acular acidosis",0,1,0,1,0,indications,0,1,0
ABT-501 is not indicated for the treatment of opic gangioedema.,ABT-501,opic gangioedema,"opic gangioedema, red mout",0,1,0,1,0,indications,0,1,0
Loterolidone is indicated for the treatment of meiboflammatitis.,Loterolidone,meiboflammatitis,"adrenitic carcinomas, septocorphylaxis",0,0,0,1,0,indications,0,1,0
Melphenic acid is not indicated for the treatment of hematocellitus.,Melphenic acid,hematocellitus,"hematocellitus, teethronchiectiver cancer",0,1,0,1,0,indications,0,0,1
Ciminumab is indicated for the treatment of arrhythmianic.,Ciminumab,arrhythmianic,"malact infarcinoma, arrhythmianic",0,0,0,1,0,indications,0,0,1
Remoclose is indicated for the treatment of extracterium.,Remoclose,extracterium,"anal bleepischema, Vasophyria",0,0,0,1,0,indications,0,0,1
Ramoteprazole is indicated for the treatment of sleepilar hea.,Ramoteprazole,sleepilar hea,"sleepilar hea, brometric",0,0,0,1,0,indications,1,0,0
Hydroxamfetamesate is not indicated for the treatment of coppendomycosis.,Hydroxamfetamesate,coppendomycosis,"coppendomycosis, breatory disorders",0,1,0,1,0,indications,0,1,0
Galide is indicated for the treatment of hematocellitus.,Galide,hematocellitus,"candigemia, sinusion",0,0,0,1,0,indications,0,0,1
Elocytoin is not indicated for the treatment of sorder cand vomiasis.,Elocytoin,sorder cand vomiasis,"poisorders, sorder cand vomiasis",0,1,0,1,0,indications,1,0,0
Exemethate is not indicated for the treatment of acteridematoid leukemias.,Exemethate,acteridematoid leukemias,"leprematus angiopathy, diac depremension",0,1,0,1,0,indications,1,0,0
Cefusionate is indicated for the treatment of anemic malis.,Cefusionate,anemic malis,"anemic malis, Fabry cell Carcinoma",0,0,0,1,0,indications,0,0,1
Tiagabinate is not indicated for the treatment of scortis.,Tiagabinate,scortis,"anemic malis, sleepilar hea",0,1,0,1,0,indications,1,0,0
Edarol is indicated for the treatment of adrenitic carcinomas.,Edarol,adrenitic carcinomas,"Onychoticus, chrombolism",0,0,0,1,0,indications,0,0,1
Nemoxetan is not indicated for the treatment of allergic anding.,Nemoxetan,allergic anding,"muscular agina, allergic anding",0,1,0,1,0,indications,1,0,0
Ketobasicumab is indicated for the treatment of allergic anding.,Ketobasicumab,allergic anding,"allergic anding, poisorders",0,0,0,1,0,indications,1,0,0
Cole is indicated for the treatment of ery tumor.,Cole,ery tumor,"abnorrhosis, ery tumor",0,0,0,1,0,indications,0,1,0
Chlorotermin is not indicated for the treatment of nonal disease.,Chlorotermin,nonal disease,"hyperacterythmia, astronchoplasm",0,1,0,1,0,indications,1,0,0
Paclose is indicated for the treatment of infectal hea.,Paclose,infectal hea,"perebrilepsies, obstrophy",0,0,0,1,0,indications,0,1,0
Efavirenol is not indicated for the treatment of bactive tumors.,Efavirenol,bactive tumors,"bactive tumors, molynes",0,1,0,1,0,indications,0,1,0
Bedotoxib is not indicated for the treatment of cer pyloid cancer.,Bedotoxib,cer pyloid cancer,"opic gangioedema, acteridematoid leukemias",0,1,0,1,0,indications,1,0,0
Tiane C-131 is not indicated for the treatment of hyperampsies.,Tiane C-131,hyperampsies,"sinusion, chronchol dism",0,1,0,1,0,indications,1,0,0
Nylindenol is not indicated for the treatment of perebrilepsies.,Nylindenol,perebrilepsies,"keraticancrease, Onychoticus",0,1,0,1,0,indications,1,0,0
Isopate Ga-68 is not indicated for the treatment of herammation.,Isopate Ga-68,herammation,"herammation, carction",0,1,0,1,0,indications,1,0,0
Buspium is not indicated for the treatment of tube cardioblastoma.,Buspium,tube cardioblastoma,"perlipidematory loss, uronchospastoma",0,1,0,1,0,indications,1,0,0
Amifanidazole is not indicated for the treatment of coppendomycosis.,Amifanidazole,coppendomycosis,"infectrum disease, coppendomycosis",0,1,0,1,0,indications,0,1,0
