statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Pentobarbital is not indicated for the treatment of insomnia.,Pentobarbital,insomnia,insomnia,0,1,1,0,0,indications,1,0,0
Pentobarbital is indicated for the treatment of insomnia.,Pentobarbital,insomnia,insomnia,1,0,1,0,0,indications,1,0,0
Pentobarbital is not indicated for the treatment of HAE.,Pentobarbital,HAE,insomnia,1,1,1,0,0,indications,0,1,0
Pentobarbital is indicated for the treatment of gallstone.,Pentobarbital,gallstone,insomnia,0,0,1,0,0,indications,0,1,0
Glipizide is not indicated for the treatment of type 2 diabetes mellitus.,Glipizide,type 2 diabetes mellitus,type 2 diabetes mellitus,0,1,1,0,0,indications,1,0,0
Glipizide is indicated for the treatment of type 2 diabetes mellitus.,Glipizide,type 2 diabetes mellitus,type 2 diabetes mellitus,1,0,1,0,0,indications,1,0,0
Glipizide is not indicated for the treatment of molluscum contagiosum.,Glipizide,molluscum contagiosum,type 2 diabetes mellitus,1,1,1,0,0,indications,0,1,0
Glipizide is indicated for the treatment of IBS.,Glipizide,IBS,type 2 diabetes mellitus,0,0,1,0,0,indications,0,1,0
Vancomycin is not indicated for the treatment of bone infections.,Vancomycin,bone infections,"bone infections, lower respiratory tract infections, septicemia",0,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of bone infections.,Vancomycin,bone infections,"bone infections, lower respiratory tract infections, septicemia",1,0,1,0,0,indications,0,1,0
Vancomycin is not indicated for the treatment of Candidiasis.,Vancomycin,Candidiasis,"bone infections, lower respiratory tract infections, septicemia",1,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of embolic.,Vancomycin,embolic,"bone infections, lower respiratory tract infections, septicemia",0,0,1,0,0,indications,1,0,0
Vancomycin is not indicated for the treatment of lower respiratory tract infections.,Vancomycin,lower respiratory tract infections,"bone infections, lower respiratory tract infections, septicemia",0,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of lower respiratory tract infections.,Vancomycin,lower respiratory tract infections,"bone infections, lower respiratory tract infections, septicemia",1,0,1,0,0,indications,0,1,0
Vancomycin is not indicated for the treatment of keratitis.,Vancomycin,keratitis,"bone infections, lower respiratory tract infections, septicemia",1,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of ROP.,Vancomycin,ROP,"bone infections, lower respiratory tract infections, septicemia",0,0,1,0,0,indications,0,0,1
Vancomycin is not indicated for the treatment of septicemia.,Vancomycin,septicemia,"bone infections, lower respiratory tract infections, septicemia",0,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of septicemia.,Vancomycin,septicemia,"bone infections, lower respiratory tract infections, septicemia",1,0,1,0,0,indications,0,1,0
Vancomycin is not indicated for the treatment of abnormal uterine bleeding.,Vancomycin,abnormal uterine bleeding,"bone infections, lower respiratory tract infections, septicemia",1,1,1,0,0,indications,0,1,0
Vancomycin is indicated for the treatment of intrauterine fetal death.,Vancomycin,intrauterine fetal death,"bone infections, lower respiratory tract infections, septicemia",0,0,1,0,0,indications,0,1,0
LY-517717 is not indicated for the treatment of thrombosis.,LY-517717,thrombosis,"thrombosis, venous thromboembolism",0,1,1,0,0,indications,0,1,0
LY-517717 is indicated for the treatment of thrombosis.,LY-517717,thrombosis,"thrombosis, venous thromboembolism",1,0,1,0,0,indications,0,1,0
LY-517717 is not indicated for the treatment of labyrinthitis.,LY-517717,labyrinthitis,"thrombosis, venous thromboembolism",1,1,1,0,0,indications,0,0,1
LY-517717 is indicated for the treatment of leprosy.,LY-517717,leprosy,"thrombosis, venous thromboembolism",0,0,1,0,0,indications,0,1,0
LY-517717 is not indicated for the treatment of venous thromboembolism.,LY-517717,venous thromboembolism,"thrombosis, venous thromboembolism",0,1,1,0,0,indications,0,0,1
LY-517717 is indicated for the treatment of venous thromboembolism.,LY-517717,venous thromboembolism,"thrombosis, venous thromboembolism",1,0,1,0,0,indications,0,0,1
LY-517717 is not indicated for the treatment of HPT.,LY-517717,HPT,"thrombosis, venous thromboembolism",1,1,1,0,0,indications,0,0,1
LY-517717 is indicated for the treatment of sepsis.,LY-517717,sepsis,"thrombosis, venous thromboembolism",0,0,1,0,0,indications,0,1,0
Magnesium oxide is not indicated for the treatment of acid indigestion.,Magnesium oxide,acid indigestion,acid indigestion,0,1,1,0,0,indications,0,0,1
Magnesium oxide is indicated for the treatment of acid indigestion.,Magnesium oxide,acid indigestion,acid indigestion,1,0,1,0,0,indications,0,0,1
Magnesium oxide is not indicated for the treatment of tinea pedis.,Magnesium oxide,tinea pedis,acid indigestion,1,1,1,0,0,indications,0,1,0
Magnesium oxide is indicated for the treatment of migraines.,Magnesium oxide,migraines,acid indigestion,0,0,1,0,0,indications,0,1,0
Pilocarpine is not indicated for the treatment of cancer of the head and neck.,Pilocarpine,cancer of the head and neck,"cancer of the head and neck, dry mouth",0,1,1,0,0,indications,0,1,0
Pilocarpine is indicated for the treatment of cancer of the head and neck.,Pilocarpine,cancer of the head and neck,"cancer of the head and neck, dry mouth",1,0,1,0,0,indications,0,1,0
Pilocarpine is not indicated for the treatment of depression.,Pilocarpine,depression,"cancer of the head and neck, dry mouth",1,1,1,0,0,indications,1,0,0
Pilocarpine is indicated for the treatment of tumors.,Pilocarpine,tumors,"cancer of the head and neck, dry mouth",0,0,1,0,0,indications,0,1,0
Pilocarpine is not indicated for the treatment of dry mouth.,Pilocarpine,dry mouth,"cancer of the head and neck, dry mouth",0,1,1,0,0,indications,1,0,0
Pilocarpine is indicated for the treatment of dry mouth.,Pilocarpine,dry mouth,"cancer of the head and neck, dry mouth",1,0,1,0,0,indications,1,0,0
Pilocarpine is not indicated for the treatment of hypotensive.,Pilocarpine,hypotensive,"cancer of the head and neck, dry mouth",1,1,1,0,0,indications,0,1,0
Pilocarpine is indicated for the treatment of esophageal candidiasis.,Pilocarpine,esophageal candidiasis,"cancer of the head and neck, dry mouth",0,0,1,0,0,indications,0,1,0
Folic acid is not indicated for the treatment of anemias.,Folic acid,anemias,"anemias, megaloblastic anemia",0,1,1,0,0,indications,0,1,0
Folic acid is indicated for the treatment of anemias.,Folic acid,anemias,"anemias, megaloblastic anemia",1,0,1,0,0,indications,0,1,0
Folic acid is not indicated for the treatment of bronchopulmonary dysplasia.,Folic acid,bronchopulmonary dysplasia,"anemias, megaloblastic anemia",1,1,1,0,0,indications,0,1,0
Folic acid is indicated for the treatment of neurogenic shock.,Folic acid,neurogenic shock,"anemias, megaloblastic anemia",0,0,1,0,0,indications,0,0,1
Folic acid is not indicated for the treatment of megaloblastic anemia.,Folic acid,megaloblastic anemia,"anemias, megaloblastic anemia",0,1,1,0,0,indications,0,1,0
Folic acid is indicated for the treatment of megaloblastic anemia.,Folic acid,megaloblastic anemia,"anemias, megaloblastic anemia",1,0,1,0,0,indications,0,1,0
Folic acid is not indicated for the treatment of diabetic neuropathy.,Folic acid,diabetic neuropathy,"anemias, megaloblastic anemia",1,1,1,0,0,indications,0,1,0
Folic acid is indicated for the treatment of tinea.,Folic acid,tinea,"anemias, megaloblastic anemia",0,0,1,0,0,indications,0,0,1
Cinnamaldehyde is not indicated for the treatment of ACD.,Cinnamaldehyde,ACD,ACD,0,1,1,0,0,indications,0,1,0
Cinnamaldehyde is indicated for the treatment of ACD.,Cinnamaldehyde,ACD,ACD,1,0,1,0,0,indications,0,1,0
Cinnamaldehyde is not indicated for the treatment of hemolysis.,Cinnamaldehyde,hemolysis,ACD,1,1,1,0,0,indications,1,0,0
Cinnamaldehyde is indicated for the treatment of nocturnal heartburn.,Cinnamaldehyde,nocturnal heartburn,ACD,0,0,1,0,0,indications,0,1,0
Vincristine is not indicated for the treatment of Hodgkin lymphoma.,Vincristine,Hodgkin lymphoma,"Hodgkin lymphoma, acute lymphocytic leukemia",0,1,1,0,0,indications,0,1,0
Vincristine is indicated for the treatment of Hodgkin lymphoma.,Vincristine,Hodgkin lymphoma,"Hodgkin lymphoma, acute lymphocytic leukemia",1,0,1,0,0,indications,0,1,0
Vincristine is not indicated for the treatment of diabetes.,Vincristine,diabetes,"Hodgkin lymphoma, acute lymphocytic leukemia",1,1,1,0,0,indications,1,0,0
Vincristine is indicated for the treatment of dysuria.,Vincristine,dysuria,"Hodgkin lymphoma, acute lymphocytic leukemia",0,0,1,0,0,indications,0,1,0
Vincristine is not indicated for the treatment of acute lymphocytic leukemia.,Vincristine,acute lymphocytic leukemia,"Hodgkin lymphoma, acute lymphocytic leukemia",0,1,1,0,0,indications,1,0,0
Vincristine is indicated for the treatment of acute lymphocytic leukemia.,Vincristine,acute lymphocytic leukemia,"Hodgkin lymphoma, acute lymphocytic leukemia",1,0,1,0,0,indications,1,0,0
Vincristine is not indicated for the treatment of cutaneous leishmaniasis.,Vincristine,cutaneous leishmaniasis,"Hodgkin lymphoma, acute lymphocytic leukemia",1,1,1,0,0,indications,0,1,0
Vincristine is indicated for the treatment of fever blisters.,Vincristine,fever blisters,"Hodgkin lymphoma, acute lymphocytic leukemia",0,0,1,0,0,indications,0,0,1
Flunitrazepam is not indicated for the treatment of bipolar I disorder.,Flunitrazepam,bipolar I disorder,insomnias,1,1,1,0,0,indications,0,0,1
Ammonium lactate is not indicated for the treatment of ichthyosis vulgaris.,Ammonium lactate,ichthyosis vulgaris,"ichthyosis vulgaris, itching, xerosis",0,1,1,0,0,indications,0,0,1
Ammonium lactate is indicated for the treatment of ichthyosis vulgaris.,Ammonium lactate,ichthyosis vulgaris,"ichthyosis vulgaris, itching, xerosis",1,0,1,0,0,indications,0,0,1
Ammonium lactate is not indicated for the treatment of prostate disorders.,Ammonium lactate,prostate disorders,"ichthyosis vulgaris, itching, xerosis",1,1,1,0,0,indications,0,0,1
Ammonium lactate is indicated for the treatment of GI abnormalities.,Ammonium lactate,GI abnormalities,"ichthyosis vulgaris, itching, xerosis",0,0,1,0,0,indications,0,0,1
Ammonium lactate is not indicated for the treatment of itching.,Ammonium lactate,itching,"ichthyosis vulgaris, itching, xerosis",0,1,1,0,0,indications,1,0,0
Ammonium lactate is indicated for the treatment of itching.,Ammonium lactate,itching,"ichthyosis vulgaris, itching, xerosis",1,0,1,0,0,indications,1,0,0
Ammonium lactate is not indicated for the treatment of multiple sclerosis.,Ammonium lactate,multiple sclerosis,"ichthyosis vulgaris, itching, xerosis",1,1,1,0,0,indications,1,0,0
Ammonium lactate is indicated for the treatment of anaemia.,Ammonium lactate,anaemia,"ichthyosis vulgaris, itching, xerosis",0,0,1,0,0,indications,1,0,0
Ammonium lactate is not indicated for the treatment of xerosis.,Ammonium lactate,xerosis,"ichthyosis vulgaris, itching, xerosis",0,1,1,0,0,indications,1,0,0
Ammonium lactate is indicated for the treatment of xerosis.,Ammonium lactate,xerosis,"ichthyosis vulgaris, itching, xerosis",1,0,1,0,0,indications,1,0,0
Ammonium lactate is not indicated for the treatment of hemolytic uremic syndrome.,Ammonium lactate,hemolytic uremic syndrome,"ichthyosis vulgaris, itching, xerosis",1,1,1,0,0,indications,0,0,1
Ammonium lactate is indicated for the treatment of anxiety disorders.,Ammonium lactate,anxiety disorders,"ichthyosis vulgaris, itching, xerosis",0,0,1,0,0,indications,1,0,0
Ondansetron is not indicated for the treatment of cancer.,Ondansetron,cancer,cancer,0,1,1,0,0,indications,1,0,0
Ondansetron is indicated for the treatment of cancer.,Ondansetron,cancer,cancer,1,0,1,0,0,indications,1,0,0
Ondansetron is not indicated for the treatment of pulmonary artery anomalies.,Ondansetron,pulmonary artery anomalies,cancer,1,1,1,0,0,indications,1,0,0
Ondansetron is indicated for the treatment of sprue.,Ondansetron,sprue,cancer,0,0,1,0,0,indications,1,0,0
Scopolamine is not indicated for the treatment of dyskinesia.,Scopolamine,dyskinesia,"PONV, postoperative nausea and vomiting",1,1,1,0,0,indications,1,0,0
Scopolamine is indicated for the treatment of nocturia.,Scopolamine,nocturia,"PONV, postoperative nausea and vomiting",0,0,1,0,0,indications,1,0,0
Scopolamine is not indicated for the treatment of postoperative nausea and vomiting.,Scopolamine,postoperative nausea and vomiting,"PONV, postoperative nausea and vomiting",0,1,1,0,0,indications,1,0,0
Scopolamine is indicated for the treatment of postoperative nausea and vomiting.,Scopolamine,postoperative nausea and vomiting,"PONV, postoperative nausea and vomiting",1,0,1,0,0,indications,1,0,0
Scopolamine is not indicated for the treatment of supraventricular arrhythmias.,Scopolamine,supraventricular arrhythmias,"PONV, postoperative nausea and vomiting",1,1,1,0,0,indications,1,0,0
Scopolamine is indicated for the treatment of T1D.,Scopolamine,T1D,"PONV, postoperative nausea and vomiting",0,0,1,0,0,indications,1,0,0
Albendazole is not indicated for the treatment of neurocysticercosis.,Albendazole,neurocysticercosis,neurocysticercosis,0,1,1,0,0,indications,1,0,0
Albendazole is indicated for the treatment of neurocysticercosis.,Albendazole,neurocysticercosis,neurocysticercosis,1,0,1,0,0,indications,1,0,0
Albendazole is not indicated for the treatment of hypoparathyroidism.,Albendazole,hypoparathyroidism,neurocysticercosis,1,1,1,0,0,indications,1,0,0
Albendazole is indicated for the treatment of mucocutaneous infections.,Albendazole,mucocutaneous infections,neurocysticercosis,0,0,1,0,0,indications,0,1,0
Butalbital is not indicated for the treatment of headache.,Butalbital,headache,headache,0,1,1,0,0,indications,1,0,0
Butalbital is indicated for the treatment of headache.,Butalbital,headache,headache,1,0,1,0,0,indications,1,0,0
Butalbital is not indicated for the treatment of transitional cell bladder carcinoma.,Butalbital,transitional cell bladder carcinoma,headache,1,1,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of brain cancer.,Irofulven,brain cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of brain cancer.,Irofulven,brain cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of hairy cell leukemia.,Irofulven,hairy cell leukemia,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of megaloblastic anemia.,Irofulven,megaloblastic anemia,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of breast cancer.,Irofulven,breast cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of breast cancer.,Irofulven,breast cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of allergic reactions.,Irofulven,allergic reactions,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of Pneumocystis jiroveci.,Irofulven,Pneumocystis jiroveci,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of endometrial cancer.,Irofulven,endometrial cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of endometrial cancer.,Irofulven,endometrial cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of lower respiratory tract disease.,Irofulven,lower respiratory tract disease,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,1,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of liver cancer.,Irofulven,liver cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of liver cancer.,Irofulven,liver cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of glaucoma.,Irofulven,glaucoma,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of cirrhosis.,Irofulven,cirrhosis,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of lung cancer.,Irofulven,lung cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of lung cancer.,Irofulven,lung cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of osteodystrophy.,Irofulven,osteodystrophy,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,0,1,0,0,indications,1,0,0
Irofulven is not indicated for the treatment of ovarian cancer.,Irofulven,ovarian cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",0,1,1,0,0,indications,1,0,0
Irofulven is indicated for the treatment of ovarian cancer.,Irofulven,ovarian cancer,"brain cancer, breast cancer, endometrial cancer, liver cancer, lung cancer, ovarian cancer, pancreatic cancer, prostate cancer, sarcoma",1,0,1,0,0,indications,1,0,0
